Match ID:,NA1_5317999501
Game Duration:,1948
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,501",-1
2,"3,073","2,957",+116
3,"4,416","4,326",+90
4,"6,165","7,221","-1,056"
5,"7,921","9,443","-1,522"
6,"9,180","11,609","-2,429"
7,"11,010","13,135","-2,125"
8,"12,336","15,497","-3,161"
9,"14,553","17,449","-2,896"
10,"16,032","20,229","-4,197"
11,"17,627","22,663","-5,036"
12,"19,075","24,970","-5,895"
13,"22,038","26,326","-4,288"
14,"25,786","27,883","-2,097"
15,"29,137","29,395",-258
16,"30,429","31,636","-1,207"
17,"31,718","33,427","-1,709"
18,"34,226","36,326","-2,100"
19,"36,231","38,278","-2,047"
20,"39,429","40,166",-737
21,"41,802","42,849","-1,047"
22,"43,859","44,184",-325
23,"45,158","47,421","-2,263"
24,"46,831","49,907","-3,076"
25,"50,449","53,137","-2,688"
26,"52,106","54,277","-2,171"
27,"57,034","55,146","+1,888"
28,"59,916","56,861","+3,055"
29,"63,015","58,876","+4,139"
30,"66,234","60,359","+5,875"
""
Objective Timeline
Time,Team,Objective,Details
7:44,Team 200,Earth Dragon,
11:27,Neutral,Top Lane Outer Turret,Team 100's building
13:41,Team 200,Hextech Dragon,
13:42,Neutral,Dragon Soul Given,
14:44,Neutral,Bot Lane Outer Turret,Team 200's building
17:07,Neutral,Mid Lane Outer Turret,Team 200's building
17:22,Neutral,Top Lane Outer Turret,Team 200's building
18:01,Team 200,Monster,
19:53,Team 100,Water Dragon,
20:37,Neutral,Bot Lane Outer Turret,Team 100's building
21:40,Neutral,Bot Lane Inner Turret,Team 200's building
22:13,Neutral,Mid Lane Outer Turret,Team 100's building
23:21,Neutral,Top Lane Inner Turret,Team 100's building
24:17,Neutral,Mid Lane Inner Turret,Team 200's building
24:34,Neutral,Bot Lane Inner Turret,Team 100's building
25:16,Team 200,Water Dragon,
27:00,Team 100,Monster,
28:34,Neutral,Top Lane Inner Turret,Team 200's building
29:15,Neutral,Mid Lane Base Turret,Team 200's building
30:23,Neutral,Inhibitor Building (Mid Lane),Team 200's building
30:52,Team 100,Water Dragon,
32:14,Neutral,Mid Lane Nexus Turret,Team 200's building
32:17,Neutral,Mid Lane Nexus Turret,Team 200's building
