Match ID:,NA1_5305335783
Game Duration:,2050
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,015","2,994",+21
3,"4,619","4,508",+111
4,"6,598","5,895",+703
5,"8,168","7,417",+751
6,"9,270","9,548",-278
7,"11,734","11,472",+262
8,"13,516","13,075",+441
9,"15,152","15,241",-89
10,"16,621","16,901",-280
11,"18,459","19,467","-1,008"
12,"19,885","21,058","-1,173"
13,"21,570","23,396","-1,826"
14,"23,865","25,727","-1,862"
15,"25,574","28,821","-3,247"
16,"27,481","31,080","-3,599"
17,"29,056","33,190","-4,134"
18,"32,122","36,295","-4,173"
19,"35,056","38,495","-3,439"
20,"38,353","39,955","-1,602"
21,"41,767","42,160",-393
22,"44,268","43,812",+456
23,"45,781","45,205",+576
24,"47,526","48,339",-813
25,"48,889","52,150","-3,261"
26,"50,801","54,190","-3,389"
27,"52,184","57,356","-5,172"
28,"57,320","59,382","-2,062"
29,"59,810","60,897","-1,087"
30,"61,290","62,716","-1,426"
""
Objective Timeline
Time,Team,Objective,Details
9:22,Team 100,Hextech Dragon,
14:09,Neutral,Bot Lane Outer Turret,Team 200's building
14:21,Neutral,Top Lane Outer Turret,Team 100's building
14:38,Team 100,Air Dragon,
14:39,Neutral,Dragon Soul Given,
16:14,Team 200,Monster,
17:24,Neutral,Bot Lane Outer Turret,Team 100's building
18:19,Neutral,Mid Lane Outer Turret,Team 100's building
19:27,Neutral,Top Lane Outer Turret,Team 200's building
20:00,Neutral,Mid Lane Outer Turret,Team 200's building
20:08,Team 100,Fire Dragon,
23:46,Neutral,Bot Lane Inner Turret,Team 100's building
24:24,Neutral,Top Lane Inner Turret,Team 100's building
25:15,Team 200,Fire Dragon,
25:43,Neutral,Mid Lane Inner Turret,Team 200's building
26:13,Team 200,Monster,
27:49,Neutral,Mid Lane Base Turret,Team 200's building
27:53,Neutral,Inhibitor Building (Mid Lane),Team 200's building
30:51,Neutral,Mid Lane Inner Turret,Team 100's building
31:23,Team 200,Fire Dragon,
32:22,Team 200,Monster,
32:24,Neutral,Bot Lane Inner Turret,Team 200's building
33:39,Neutral,Mid Lane Base Turret,Team 100's building
33:42,Neutral,Inhibitor Building (Mid Lane),Team 100's building
34:00,Neutral,Mid Lane Nexus Turret,Team 100's building
34:02,Neutral,Mid Lane Nexus Turret,Team 100's building
34:06,Neutral,Bot Lane Base Turret,Team 100's building
