Match ID:,NA1_5310639906
Game Duration:,1862
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,512",-12
2,"3,016","3,000",+16
3,"4,370","4,490",-120
4,"6,916","5,895","+1,021"
5,"9,113","7,410","+1,703"
6,"10,830","9,142","+1,688"
7,"12,857","10,525","+2,332"
8,"14,379","13,579",+800
9,"16,231","14,949","+1,282"
10,"17,972","16,697","+1,275"
11,"20,561","19,066","+1,495"
12,"22,483","20,844","+1,639"
13,"24,418","22,575","+1,843"
14,"26,797","24,571","+2,226"
15,"28,494","27,664",+830
16,"30,965","29,666","+1,299"
17,"33,438","31,840","+1,598"
18,"35,684","33,668","+2,016"
19,"37,972","36,070","+1,902"
20,"39,406","40,035",-629
21,"41,924","41,301",+623
22,"42,747","45,234","-2,487"
23,"44,127","47,176","-3,049"
24,"46,965","48,556","-1,591"
25,"48,200","50,609","-2,409"
26,"50,013","54,511","-4,498"
27,"51,970","56,424","-4,454"
28,"53,205","61,270","-8,065"
29,"56,601","64,964","-8,363"
30,"59,102","67,248","-8,146"
""
Objective Timeline
Time,Team,Objective,Details
11:06,Team 100,Water Dragon,
14:11,Neutral,Top Lane Outer Turret,Team 200's building
14:54,Neutral,Bot Lane Outer Turret,Team 100's building
15:16,Neutral,Mid Lane Outer Turret,Team 200's building
16:10,Team 100,Monster,
17:58,Neutral,Top Lane Outer Turret,Team 100's building
18:10,Team 100,Chemtech Dragon,
18:10,Neutral,Dragon Soul Given,
18:49,Neutral,Bot Lane Outer Turret,Team 200's building
19:12,Neutral,Mid Lane Inner Turret,Team 200's building
20:43,Neutral,Bot Lane Inner Turret,Team 200's building
21:42,Neutral,Mid Lane Outer Turret,Team 100's building
22:11,Neutral,Mid Lane Inner Turret,Team 100's building
23:19,Neutral,Top Lane Inner Turret,Team 200's building
23:40,Team 200,Hextech Dragon,
25:49,Team 200,Monster,
27:46,Neutral,Top Lane Inner Turret,Team 100's building
27:50,Neutral,Bot Lane Inner Turret,Team 100's building
28:05,Neutral,Bot Lane Base Turret,Team 100's building
28:21,Neutral,Inhibitor Building (Bot Lane),Team 100's building
28:32,Neutral,Top Lane Base Turret,Team 100's building
28:39,Neutral,Inhibitor Building (Top Lane),Team 100's building
28:51,Neutral,Mid Lane Nexus Turret,Team 100's building
29:09,Team 100,Hextech Dragon,1000 gold
30:46,Neutral,Mid Lane Nexus Turret,Team 100's building
30:57,Neutral,Mid Lane Base Turret,Team 100's building
