Match ID:,NA1_5318496467
Game Duration:,1138
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,065","3,024",+41
3,"4,458","4,480",-22
4,"6,103","5,957",+146
5,"7,579","7,699",-120
6,"9,067","9,919",-852
7,"10,688","11,681",-993
8,"11,849","13,351","-1,502"
9,"13,688","15,190","-1,502"
10,"15,204","17,319","-2,115"
11,"17,800","19,276","-1,476"
12,"20,417","20,669",-252
13,"21,960","22,450",-490
14,"24,009","23,985",+24
15,"25,080","26,159","-1,079"
16,"27,118","31,069","-3,951"
17,"28,578","33,027","-4,449"
18,"30,287","35,648","-5,361"
19,"31,736","39,364","-7,628"
""
Objective Timeline
Time,Team,Objective,Details
7:48,Team 200,Hextech Dragon,
13:04,Team 200,Fire Dragon,
13:04,Neutral,Dragon Soul Given,
15:21,Neutral,Top Lane Outer Turret,Team 100's building
15:30,Team 200,Monster,
15:38,Neutral,Mid Lane Outer Turret,Team 100's building
15:42,Neutral,Bot Lane Outer Turret,Team 200's building
15:48,Neutral,Top Lane Inner Turret,Team 100's building
17:25,Neutral,Mid Lane Inner Turret,Team 100's building
18:23,Neutral,Bot Lane Outer Turret,Team 100's building
