Match ID:,NA1_5310850887
Game Duration:,1938
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,035","2,970",+65
3,"4,573","4,358",+215
4,"6,174","6,007",+167
5,"8,582","8,048",+534
6,"10,102","9,308",+794
7,"11,670","10,654","+1,016"
8,"13,364","12,721",+643
9,"15,130","14,017","+1,113"
10,"16,993","15,568","+1,425"
11,"18,590","17,549","+1,041"
12,"19,978","19,243",+735
13,"23,701","21,142","+2,559"
14,"25,722","23,114","+2,608"
15,"27,249","24,448","+2,801"
16,"29,029","26,112","+2,917"
17,"30,406","29,335","+1,071"
18,"34,259","30,820","+3,439"
19,"35,853","33,155","+2,698"
20,"37,536","34,651","+2,885"
21,"39,986","37,043","+2,943"
22,"41,583","38,372","+3,211"
23,"43,283","40,571","+2,712"
24,"44,990","41,594","+3,396"
25,"46,639","43,123","+3,516"
26,"49,512","44,700","+4,812"
27,"54,805","46,932","+7,873"
28,"56,317","48,603","+7,714"
29,"60,727","51,126","+9,601"
30,"62,998","53,442","+9,556"
""
Objective Timeline
Time,Team,Objective,Details
7:56,Team 200,Hextech Dragon,
12:39,Neutral,Top Lane Outer Turret,Team 200's building
13:17,Team 100,Chemtech Dragon,
13:18,Neutral,Dragon Soul Given,
14:15,Neutral,Bot Lane Outer Turret,Team 200's building
16:46,Team 200,Monster,
17:06,Neutral,Mid Lane Outer Turret,Team 100's building
17:50,Neutral,Mid Lane Outer Turret,Team 200's building
18:26,Team 100,Water Dragon,
23:53,Team 100,Water Dragon,
26:08,Team 100,Monster,
26:44,Neutral,Top Lane Inner Turret,Team 200's building
27:06,Neutral,Top Lane Base Turret,Team 200's building
28:17,Neutral,Bot Lane Inner Turret,Team 200's building
28:18,Neutral,Top Lane Outer Turret,Team 100's building; 500 gold
28:38,Neutral,Mid Lane Inner Turret,Team 200's building
28:39,Neutral,Bot Lane Base Turret,Team 200's building
28:45,Neutral,Inhibitor Building (Bot Lane),Team 200's building
29:20,Team 100,Water Dragon,
29:20,Neutral,Dragon Soul Given,
30:39,Neutral,Mid Lane Base Turret,Team 200's building
30:50,Neutral,Inhibitor Building (Mid Lane),Team 200's building
31:08,Neutral,Inhibitor Building (Top Lane),Team 200's building
31:49,Neutral,Mid Lane Nexus Turret,Team 200's building
31:50,Neutral,Mid Lane Nexus Turret,Team 200's building
