Match ID:,NA1_5302740810
Game Duration:,1194
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,977","3,725",-748
3,"4,317","5,746","-1,429"
4,"6,286","7,386","-1,100"
5,"8,165","9,646","-1,481"
6,"9,530","11,294","-1,764"
7,"10,953","13,969","-3,016"
8,"13,398","15,341","-1,943"
9,"15,340","17,162","-1,822"
10,"16,742","20,275","-3,533"
11,"18,999","21,970","-2,971"
12,"21,938","24,236","-2,298"
13,"24,467","26,940","-2,473"
14,"25,605","29,657","-4,052"
15,"28,695","32,298","-3,603"
16,"30,268","34,537","-4,269"
17,"32,793","37,310","-4,517"
18,"34,190","38,658","-4,468"
19,"36,227","42,517","-6,290"
20,"37,099","44,935","-7,836"
""
Objective Timeline
Time,Team,Objective,Details
5:51,Team 100,Air Dragon,
11:55,Team 100,Chemtech Dragon,
11:56,Neutral,Dragon Soul Given,
14:00,Neutral,Bot Lane Outer Turret,Team 100's building
14:24,Neutral,Top Lane Outer Turret,Team 100's building
14:59,Neutral,Bot Lane Outer Turret,Team 200's building; 150 gold
15:28,Team 100,Monster,
16:07,Neutral,Top Lane Outer Turret,Team 200's building
18:03,Team 200,Water Dragon,
18:53,Neutral,Mid Lane Outer Turret,Team 100's building
19:19,Neutral,Mid Lane Inner Turret,Team 100's building
