Match ID:,NA1_5316400150
Game Duration:,1391
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,875","2,500",+375
2,"3,353","2,963",+390
3,"5,041","4,339",+702
4,"6,952","6,125",+827
5,"8,233","7,639",+594
6,"9,348","8,989",+359
7,"11,402","10,892",+510
8,"12,861","12,767",+94
9,"13,730","14,533",-803
10,"15,516","16,114",-598
11,"17,618","18,754","-1,136"
12,"19,201","20,273","-1,072"
13,"20,963","21,911",-948
14,"22,939","24,011","-1,072"
15,"23,959","27,458","-3,499"
16,"26,458","28,950","-2,492"
17,"28,025","30,502","-2,477"
18,"29,648","32,298","-2,650"
19,"31,028","35,120","-4,092"
20,"34,026","36,469","-2,443"
21,"36,718","40,280","-3,562"
22,"38,385","41,755","-3,370"
23,"39,664","44,925","-5,261"
""
Objective Timeline
Time,Team,Objective,Details
6:04,Team 200,Chemtech Dragon,
12:33,Team 200,Air Dragon,
12:34,Neutral,Dragon Soul Given,
14:20,Neutral,Top Lane Outer Turret,Team 100's building
16:39,Team 200,Monster,
17:03,Neutral,Mid Lane Outer Turret,Team 100's building
17:56,Team 200,Fire Dragon,
18:34,Neutral,Bot Lane Outer Turret,Team 100's building
20:19,Neutral,Mid Lane Outer Turret,Team 200's building
20:32,Neutral,Top Lane Inner Turret,Team 100's building
20:41,Neutral,Mid Lane Inner Turret,Team 200's building
22:42,Neutral,Mid Lane Inner Turret,Team 100's building
