Match ID:,NA1_5312784122
Game Duration:,2024
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,032","2,977",+55
3,"4,436","4,462",-26
4,"5,808","5,883",-75
5,"7,580","7,122",+458
6,"9,032","9,109",-77
7,"10,632","11,588",-956
8,"12,010","13,918","-1,908"
9,"14,284","15,494","-1,210"
10,"16,461","17,951","-1,490"
11,"18,773","19,718",-945
12,"20,434","21,351",-917
13,"22,696","23,200",-504
14,"24,125","25,211","-1,086"
15,"26,409","26,651",-242
16,"28,317","28,756",-439
17,"29,963","31,609","-1,646"
18,"32,752","33,193",-441
19,"36,183","35,096","+1,087"
20,"38,082","36,510","+1,572"
21,"41,704","39,694","+2,010"
22,"43,589","41,168","+2,421"
23,"44,955","43,680","+1,275"
24,"47,654","45,123","+2,531"
25,"49,971","47,487","+2,484"
26,"52,841","50,052","+2,789"
27,"56,177","51,856","+4,321"
28,"57,865","54,267","+3,598"
29,"59,516","56,048","+3,468"
30,"61,262","57,771","+3,491"
""
Objective Timeline
Time,Team,Objective,Details
8:50,Team 100,Fire Dragon,
14:14,Team 200,Air Dragon,
14:15,Neutral,Dragon Soul Given,
15:42,Team 100,Monster,
16:50,Neutral,Top Lane Outer Turret,Team 100's building
17:16,Neutral,Mid Lane Outer Turret,Team 200's building
18:15,Neutral,Top Lane Outer Turret,Team 200's building
18:48,Neutral,Bot Lane Outer Turret,Team 200's building
20:14,Team 100,Chemtech Dragon,
20:49,Neutral,Bot Lane Outer Turret,Team 100's building
20:53,Neutral,Mid Lane Inner Turret,Team 200's building
21:03,Neutral,Mid Lane Base Turret,Team 200's building
22:38,Neutral,Bot Lane Inner Turret,Team 100's building
24:01,Neutral,Top Lane Inner Turret,Team 100's building
24:19,Neutral,Bot Lane Inner Turret,Team 200's building
26:13,Team 100,Monster,
27:15,Team 100,Chemtech Dragon,
