Match ID:,NA1_5307915793
Game Duration:,1601
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,059","2,947",+112
3,"4,522","4,456",+66
4,"6,525","6,147",+378
5,"8,007","7,623",+384
6,"9,695","9,006",+689
7,"11,685","10,383","+1,302"
8,"13,739","11,967","+1,772"
9,"16,002","13,963","+2,039"
10,"17,831","15,520","+2,311"
11,"20,415","16,861","+3,554"
12,"23,284","18,753","+4,531"
13,"26,265","20,270","+5,995"
14,"28,568","21,550","+7,018"
15,"30,763","22,986","+7,777"
16,"32,652","25,061","+7,591"
17,"35,584","26,988","+8,596"
18,"38,947","30,259","+8,688"
19,"41,557","31,563","+9,994"
20,"43,881","34,098","+9,783"
21,"45,572","36,902","+8,670"
22,"47,994","38,494","+9,500"
23,"52,080","39,677","+12,403"
24,"53,642","41,083","+12,559"
25,"56,167","42,340","+13,827"
26,"59,073","43,706","+15,367"
27,"63,073","44,334","+18,739"
""
Objective Timeline
Time,Team,Objective,Details
7:33,Team 100,Hextech Dragon,
12:33,Neutral,Bot Lane Outer Turret,Team 200's building
13:01,Team 100,Chemtech Dragon,
13:01,Neutral,Dragon Soul Given,
14:56,Neutral,Top Lane Outer Turret,Team 200's building
16:12,Team 100,Monster,
16:31,Neutral,Mid Lane Outer Turret,Team 200's building
17:16,Neutral,Mid Lane Inner Turret,Team 200's building
17:32,Neutral,Top Lane Inner Turret,Team 200's building
18:37,Team 100,Water Dragon,
22:59,Neutral,Bot Lane Inner Turret,Team 200's building
23:48,Team 100,Water Dragon,
23:48,Neutral,Dragon Soul Given,
24:39,Neutral,Mid Lane Base Turret,Team 200's building
24:44,Neutral,Inhibitor Building (Mid Lane),Team 200's building
25:07,Team 100,Monster,
26:22,Neutral,Top Lane Base Turret,Team 200's building
26:27,Neutral,Bot Lane Base Turret,Team 200's building
26:30,Neutral,Inhibitor Building (Top Lane),Team 200's building
26:36,Neutral,Inhibitor Building (Bot Lane),Team 200's building
