Match ID:,NA1_5300423406
Game Duration:,1772
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,038","2,997",+41
3,"4,498","4,772",-274
4,"6,046","6,236",-190
5,"7,583","7,993",-410
6,"9,189","9,736",-547
7,"10,531","11,428",-897
8,"12,491","13,666","-1,175"
9,"14,646","14,919",-273
10,"16,284","17,227",-943
11,"19,421","18,608",+813
12,"20,672","20,762",-90
13,"22,135","23,301","-1,166"
14,"24,022","24,894",-872
15,"27,030","26,147",+883
16,"30,873","28,794","+2,079"
17,"32,133","30,576","+1,557"
18,"34,149","33,013","+1,136"
19,"35,813","34,457","+1,356"
20,"37,526","37,168",+358
21,"40,045","39,238",+807
22,"41,769","41,078",+691
23,"43,687","42,924",+763
24,"45,962","44,231","+1,731"
25,"47,909","46,068","+1,841"
26,"49,894","51,207","-1,313"
27,"51,088","52,722","-1,634"
28,"53,773","54,319",-546
29,"58,659","55,431","+3,228"
30,"60,318","55,773","+4,545"
""
Objective Timeline
Time,Team,Objective,Details
7:18,Team 200,Hextech Dragon,
12:52,Team 200,Fire Dragon,
12:52,Neutral,Dragon Soul Given,
14:34,Neutral,Bot Lane Outer Turret,Team 200's building
15:12,Neutral,Mid Lane Outer Turret,Team 100's building
15:50,Neutral,Top Lane Outer Turret,Team 200's building
17:27,Team 100,Monster,
18:06,Team 200,Chemtech Dragon,
19:49,Neutral,Bot Lane Outer Turret,Team 100's building
22:48,Neutral,Top Lane Outer Turret,Team 100's building
23:09,Neutral,Mid Lane Outer Turret,Team 200's building
23:26,Team 100,Chemtech Dragon,
25:44,Neutral,Mid Lane Inner Turret,Team 200's building
25:49,Team 200,Monster,
29:08,Neutral,Mid Lane Base Turret,Team 200's building
29:12,Neutral,Inhibitor Building (Mid Lane),Team 200's building
29:21,Neutral,Mid Lane Nexus Turret,Team 200's building
29:24,Neutral,Mid Lane Nexus Turret,Team 200's building
