Match ID:,NA1_5318131127
Game Duration:,1740
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"4,713","2,925","+1,788"
2,"5,258","3,466","+1,792"
3,"7,161","5,195","+1,966"
4,"8,803","6,516","+2,287"
5,"10,665","8,079","+2,586"
6,"11,853","9,941","+1,912"
7,"13,235","13,031",+204
8,"15,197","15,300",-103
9,"16,771","17,484",-713
10,"18,900","19,209",-309
11,"20,880","21,158",-278
12,"22,776","22,690",+86
13,"24,280","25,765","-1,485"
14,"26,427","27,205",-778
15,"29,460","29,927",-467
16,"30,713","31,798","-1,085"
17,"33,350","32,737",+613
18,"34,552","35,236",-684
19,"35,858","37,833","-1,975"
20,"38,101","39,513","-1,412"
21,"39,405","41,188","-1,783"
22,"41,582","42,741","-1,159"
23,"42,766","43,819","-1,053"
24,"44,344","46,967","-2,623"
25,"45,745","50,070","-4,325"
26,"47,062","52,967","-5,905"
27,"49,999","54,599","-4,600"
28,"51,352","57,030","-5,678"
29,"53,050","61,908","-8,858"
""
Objective Timeline
Time,Team,Objective,Details
12:34,Team 100,Water Dragon,
12:47,Neutral,Top Lane Outer Turret,Team 100's building
14:20,Neutral,Bot Lane Outer Turret,Team 200's building
14:26,Neutral,Top Lane Outer Turret,Team 200's building
15:56,Team 200,Monster,
16:34,Neutral,Mid Lane Outer Turret,Team 200's building
17:57,Team 200,Air Dragon,
17:57,Neutral,Dragon Soul Given,
18:48,Neutral,Bot Lane Outer Turret,Team 100's building
21:13,Neutral,Mid Lane Inner Turret,Team 200's building
23:42,Team 200,Chemtech Dragon,
24:36,Neutral,Mid Lane Outer Turret,Team 100's building
25:21,Team 200,Monster,
27:32,Neutral,Mid Lane Inner Turret,Team 100's building
27:49,Neutral,Top Lane Inner Turret,Team 100's building
28:28,Neutral,Top Lane Base Turret,Team 100's building
28:32,Neutral,Inhibitor Building (Top Lane),Team 100's building
28:39,Neutral,Mid Lane Nexus Turret,Team 100's building
28:47,Neutral,Mid Lane Nexus Turret,Team 100's building
