Match ID:,NA1_5305562236
Game Duration:,1917
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,913","3,359",-446
3,"4,704","5,210",-506
4,"6,138","6,943",-805
5,"7,623","8,367",-744
6,"10,123","10,655",-532
7,"12,001","12,622",-621
8,"13,500","14,104",-604
9,"16,251","15,843",+408
10,"17,974","18,287",-313
11,"20,746","19,494","+1,252"
12,"23,570","21,915","+1,655"
13,"25,244","23,471","+1,773"
14,"28,545","25,421","+3,124"
15,"31,589","27,449","+4,140"
16,"33,858","30,216","+3,642"
17,"36,139","32,042","+4,097"
18,"38,114","35,712","+2,402"
19,"40,129","37,249","+2,880"
20,"42,214","39,795","+2,419"
21,"44,272","42,606","+1,666"
22,"46,302","44,202","+2,100"
23,"48,678","46,048","+2,630"
24,"49,940","48,204","+1,736"
25,"51,185","50,856",+329
26,"52,528","53,448",-920
27,"54,045","55,748","-1,703"
28,"55,343","59,896","-4,553"
29,"58,763","60,708","-1,945"
30,"60,612","62,563","-1,951"
""
Objective Timeline
Time,Team,Objective,Details
10:33,Team 200,Fire Dragon,
14:38,Neutral,Top Lane Outer Turret,Team 200's building
15:05,Neutral,Bot Lane Outer Turret,Team 100's building
15:45,Neutral,Bot Lane Outer Turret,Team 200's building
16:28,Neutral,Top Lane Outer Turret,Team 100's building
16:44,Team 100,Air Dragon,
16:45,Neutral,Dragon Soul Given,
18:27,Neutral,Mid Lane Outer Turret,Team 200's building
20:14,Neutral,Mid Lane Inner Turret,Team 200's building
23:31,Team 200,Hextech Dragon,
24:45,Team 300,Monster,
25:37,Team 200,Monster,
27:17,Neutral,Mid Lane Outer Turret,Team 100's building
27:29,Neutral,Mid Lane Inner Turret,Team 100's building
27:38,Neutral,Mid Lane Base Turret,Team 100's building
27:43,Neutral,Inhibitor Building (Mid Lane),Team 100's building
28:53,Neutral,Top Lane Inner Turret,Team 200's building
29:17,Team 200,Hextech Dragon,
30:34,Neutral,Bot Lane Inner Turret,Team 100's building
30:55,Neutral,Bot Lane Base Turret,Team 100's building
31:00,Neutral,Inhibitor Building (Bot Lane),Team 100's building
31:33,Neutral,Mid Lane Nexus Turret,Team 100's building
31:42,Neutral,Mid Lane Nexus Turret,Team 100's building
