Match ID:,NA1_5317290088
Game Duration:,2052
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,052","3,002",+50
3,"4,521","4,444",+77
4,"6,538","6,044",+494
5,"8,404","7,252","+1,152"
6,"9,726","8,730",+996
7,"12,150","10,136","+2,014"
8,"13,479","11,439","+2,040"
9,"15,055","13,717","+1,338"
10,"17,848","15,227","+2,621"
11,"19,415","16,807","+2,608"
12,"21,703","17,914","+3,789"
13,"24,010","20,279","+3,731"
14,"25,756","22,281","+3,475"
15,"27,631","23,632","+3,999"
16,"31,694","26,737","+4,957"
17,"32,935","28,500","+4,435"
18,"35,715","31,210","+4,505"
19,"37,953","33,299","+4,654"
20,"40,508","35,675","+4,833"
21,"42,358","37,045","+5,313"
22,"45,187","39,737","+5,450"
23,"46,978","44,324","+2,654"
24,"48,359","47,034","+1,325"
25,"49,596","48,693",+903
26,"50,385","53,770","-3,385"
27,"54,299","55,521","-1,222"
28,"57,371","57,407",-36
29,"59,188","59,255",-67
30,"62,403","60,823","+1,580"
""
Objective Timeline
Time,Team,Objective,Details
8:11,Team 200,Fire Dragon,
15:03,Neutral,Top Lane Outer Turret,Team 200's building
15:05,Neutral,Bot Lane Outer Turret,Team 200's building
16:08,Team 100,Earth Dragon,
16:08,Neutral,Dragon Soul Given,
17:21,Team 100,Monster,
17:52,Neutral,Mid Lane Outer Turret,Team 200's building
18:02,Neutral,Bot Lane Outer Turret,Team 100's building
19:07,Neutral,Bot Lane Inner Turret,Team 200's building
19:16,Neutral,Mid Lane Inner Turret,Team 200's building
19:22,Neutral,Top Lane Outer Turret,Team 100's building
21:44,Neutral,Top Lane Inner Turret,Team 100's building
22:19,Team 100,Hextech Dragon,
22:39,Neutral,Mid Lane Outer Turret,Team 100's building
23:02,Neutral,Bot Lane Inner Turret,Team 100's building
25:42,Team 200,Monster,
26:41,Neutral,Mid Lane Inner Turret,Team 100's building
27:28,Team 100,Hextech Dragon,
29:40,Neutral,Mid Lane Base Turret,Team 200's building
29:45,Neutral,Inhibitor Building (Mid Lane),Team 200's building
32:20,Neutral,Bot Lane Base Turret,Team 200's building
32:43,Team 100,Hextech Dragon,
32:44,Neutral,Dragon Soul Given,
