Match ID:,NA1_5304922199
Game Duration:,1675
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,505","2,500",+5
2,"3,298","3,258",+40
3,"4,637","4,717",-80
4,"6,775","6,694",+81
5,"8,052","8,660",-608
6,"9,634","11,242","-1,608"
7,"11,264","13,614","-2,350"
8,"13,348","15,366","-2,018"
9,"15,078","17,062","-1,984"
10,"17,143","18,638","-1,495"
11,"19,820","20,644",-824
12,"21,660","22,208",-548
13,"23,942","24,533",-591
14,"26,378","27,114",-736
15,"28,859","28,611",+248
16,"31,139","30,119","+1,020"
17,"32,279","34,235","-1,956"
18,"33,835","36,490","-2,655"
19,"36,038","39,174","-3,136"
20,"38,385","40,714","-2,329"
21,"39,668","42,733","-3,065"
22,"42,322","43,879","-1,557"
23,"45,412","45,698",-286
24,"47,172","49,775","-2,603"
25,"48,359","51,392","-3,033"
26,"49,395","56,503","-7,108"
27,"50,963","58,581","-7,618"
28,"52,355","62,389","-10,034"
""
Objective Timeline
Time,Team,Objective,Details
7:07,Team 200,Earth Dragon,
13:07,Team 200,Hextech Dragon,
13:07,Neutral,Dragon Soul Given,
13:25,Neutral,Bot Lane Outer Turret,Team 100's building
14:02,Neutral,Top Lane Outer Turret,Team 200's building
15:23,Team 100,Monster,
16:25,Neutral,Mid Lane Outer Turret,Team 100's building
17:11,Neutral,Top Lane Outer Turret,Team 100's building
18:17,Neutral,Mid Lane Outer Turret,Team 200's building
19:15,Team 200,Chemtech Dragon,
22:34,Neutral,Bot Lane Outer Turret,Team 200's building
23:35,Neutral,Mid Lane Inner Turret,Team 100's building
24:05,Neutral,Top Lane Inner Turret,Team 100's building
24:45,Team 200,Chemtech Dragon,
24:45,Neutral,Dragon Soul Given,
25:29,Neutral,Bot Lane Inner Turret,Team 100's building
25:57,Neutral,Mid Lane Base Turret,Team 100's building
26:01,Neutral,Inhibitor Building (Mid Lane),Team 100's building
26:10,Neutral,Bot Lane Base Turret,Team 100's building
26:14,Neutral,Inhibitor Building (Bot Lane),Team 100's building
27:40,Neutral,Top Lane Base Turret,Team 100's building
27:45,Neutral,Inhibitor Building (Top Lane),Team 100's building
