Match ID:,NA1_5314370641
Game Duration:,1870
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,058","2,977",+81
3,"4,868","4,121",+747
4,"6,378","6,511",-133
5,"7,915","8,036",-121
6,"9,540","9,902",-362
7,"10,967","12,111","-1,144"
8,"12,301","13,976","-1,675"
9,"14,574","15,431",-857
10,"17,022","17,744",-722
11,"18,241","20,012","-1,771"
12,"20,883","21,627",-744
13,"23,142","23,358",-216
14,"25,413","26,254",-841
15,"27,465","27,799",-334
16,"29,216","29,450",-234
17,"31,396","31,019",+377
18,"34,184","32,378","+1,806"
19,"35,343","35,897",-554
20,"39,330","37,971","+1,359"
21,"40,518","39,687",+831
22,"45,682","41,163","+4,519"
23,"48,447","44,195","+4,252"
24,"50,163","45,777","+4,386"
25,"52,960","46,960","+6,000"
26,"55,259","51,029","+4,230"
27,"59,314","53,185","+6,129"
28,"62,029","55,661","+6,368"
29,"65,149","58,446","+6,703"
30,"67,059","59,946","+7,113"
""
Objective Timeline
Time,Team,Objective,Details
12:02,Neutral,Top Lane Outer Turret,Team 200's building
13:59,Neutral,Bot Lane Outer Turret,Team 200's building
15:58,Team 100,Monster,
16:53,Neutral,Mid Lane Outer Turret,Team 200's building
17:07,Team 100,Chemtech Dragon,
18:30,Neutral,Bot Lane Outer Turret,Team 100's building
21:16,Neutral,Top Lane Outer Turret,Team 100's building
21:32,Neutral,Mid Lane Inner Turret,Team 200's building
21:37,Neutral,Bot Lane Inner Turret,Team 200's building
22:40,Neutral,Mid Lane Outer Turret,Team 100's building
22:55,Neutral,Bot Lane Inner Turret,Team 100's building
23:02,Neutral,Top Lane Inner Turret,Team 200's building
24:00,Team 100,Earth Dragon,
24:01,Neutral,Dragon Soul Given,
26:42,Team 100,Monster,
29:04,Neutral,Bot Lane Base Turret,Team 200's building
29:11,Neutral,Inhibitor Building (Bot Lane),Team 200's building
30:17,Team 100,Water Dragon,
30:48,Neutral,Mid Lane Nexus Turret,Team 200's building
30:54,Neutral,Mid Lane Nexus Turret,Team 200's building
