Match ID:,NA1_5302450658
Game Duration:,1779
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,944","2,888",+56
3,"4,193","4,340",-147
4,"5,719","6,026",-307
5,"6,923","7,573",-650
6,"8,838","8,652",+186
7,"10,014","10,473",-459
8,"11,297","12,003",-706
9,"12,455","14,627","-2,172"
10,"14,355","16,103","-1,748"
11,"16,860","17,857",-997
12,"18,377","19,578","-1,201"
13,"22,541","21,457","+1,084"
14,"23,722","23,555",+167
15,"25,718","25,791",-73
16,"27,488","26,878",+610
17,"29,304","28,813",+491
18,"31,434","30,121","+1,313"
19,"33,653","32,172","+1,481"
20,"35,718","35,252",+466
21,"37,691","36,596","+1,095"
22,"39,135","40,202","-1,067"
23,"40,602","42,087","-1,485"
24,"42,247","43,608","-1,361"
25,"43,507","46,877","-3,370"
26,"47,336","49,717","-2,381"
27,"49,970","51,706","-1,736"
28,"51,529","55,525","-3,996"
29,"53,578","59,032","-5,454"
30,"54,000","61,196","-7,196"
""
Objective Timeline
Time,Team,Objective,Details
7:08,Team 200,Fire Dragon,
12:28,Neutral,Top Lane Outer Turret,Team 200's building
12:47,Team 200,Earth Dragon,
12:47,Neutral,Dragon Soul Given,
12:54,Neutral,Top Lane Inner Turret,Team 200's building
14:19,Neutral,Bot Lane Outer Turret,Team 100's building
16:24,Team 100,Monster,
17:38,Neutral,Mid Lane Outer Turret,Team 200's building
18:18,Team 100,Water Dragon,
18:49,Neutral,Bot Lane Outer Turret,Team 200's building
18:50,Neutral,Top Lane Outer Turret,Team 100's building
21:36,Neutral,Mid Lane Inner Turret,Team 200's building
23:29,Team 200,Water Dragon,
24:41,Neutral,Mid Lane Outer Turret,Team 100's building
27:43,Neutral,Mid Lane Inner Turret,Team 100's building
29:16,Neutral,Mid Lane Base Turret,Team 100's building
29:20,Neutral,Inhibitor Building (Mid Lane),Team 100's building
29:29,Neutral,Mid Lane Nexus Turret,Team 100's building
29:31,Neutral,Mid Lane Nexus Turret,Team 100's building
