Match ID:,NA1_5314360853
Game Duration:,1699
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,925","3,018",-93
3,"4,346","4,565",-219
4,"6,947","6,152",+795
5,"8,348","7,515",+833
6,"10,026","8,956","+1,070"
7,"11,157","10,665",+492
8,"12,607","12,468",+139
9,"15,139","14,639",+500
10,"17,165","16,616",+549
11,"18,769","18,448",+321
12,"20,553","20,186",+367
13,"22,761","22,707",+54
14,"24,661","24,416",+245
15,"26,082","26,387",-305
16,"29,193","27,930","+1,263"
17,"33,061","30,832","+2,229"
18,"34,605","33,044","+1,561"
19,"36,471","37,585","-1,114"
20,"37,915","40,132","-2,217"
21,"39,649","41,765","-2,116"
22,"42,117","43,529","-1,412"
23,"43,775","45,090","-1,315"
24,"45,092","47,663","-2,571"
25,"46,735","50,297","-3,562"
26,"48,307","52,703","-4,396"
27,"50,021","56,040","-6,019"
28,"52,227","60,135","-7,908"
""
Objective Timeline
Time,Team,Objective,Details
10:19,Team 100,Fire Dragon,
14:47,Neutral,Top Lane Outer Turret,Team 100's building
15:25,Team 100,Monster,
16:27,Neutral,Mid Lane Outer Turret,Team 200's building
16:36,Neutral,Bot Lane Outer Turret,Team 200's building
17:08,Team 100,Water Dragon,
17:08,Neutral,Dragon Soul Given,
17:09,Neutral,Mid Lane Outer Turret,Team 100's building
18:22,Neutral,Bot Lane Outer Turret,Team 100's building
18:23,Neutral,Top Lane Outer Turret,Team 200's building
18:52,Neutral,Bot Lane Inner Turret,Team 100's building
21:37,Neutral,Mid Lane Inner Turret,Team 100's building
22:36,Team 200,Earth Dragon,
24:12,Neutral,Mid Lane Base Turret,Team 100's building
24:20,Neutral,Inhibitor Building (Mid Lane),Team 100's building
26:21,Team 200,Monster,
28:05,Neutral,Mid Lane Nexus Turret,Team 100's building
28:05,Neutral,Mid Lane Nexus Turret,Team 100's building
28:14,Neutral,Bot Lane Base Turret,Team 100's building
