Match ID:,NA1_5314080383
Game Duration:,1154
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,964","2,939",+25
3,"4,714","4,633",+81
4,"6,441","6,979",-538
5,"7,796","9,097","-1,301"
6,"8,992","11,042","-2,050"
7,"11,714","12,179",-465
8,"13,761","13,791",-30
9,"16,105","15,135",+970
10,"17,886","17,142",+744
11,"20,227","18,644","+1,583"
12,"21,695","20,787",+908
13,"22,975","23,125",-150
14,"25,208","24,711",+497
15,"27,785","26,418","+1,367"
16,"30,203","28,457","+1,746"
17,"33,197","29,856","+3,341"
18,"35,386","31,464","+3,922"
19,"39,897","32,930","+6,967"
""
Objective Timeline
Time,Team,Objective,Details
11:02,Team 200,Air Dragon,
15:00,Neutral,Bot Lane Outer Turret,Team 200's building
16:02,Team 100,Monster,
16:42,Team 100,Earth Dragon,
16:43,Neutral,Dragon Soul Given,
16:53,Neutral,Top Lane Outer Turret,Team 200's building
17:19,Neutral,Mid Lane Outer Turret,Team 200's building
18:37,Neutral,Mid Lane Inner Turret,Team 200's building
18:46,Neutral,Mid Lane Base Turret,Team 200's building
