Match ID:,NA1_5314306701
Game Duration:,918
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,076","3,043",+33
3,"4,509","4,489",+20
4,"7,097","6,403",+694
5,"8,608","7,773",+835
6,"10,535","8,945","+1,590"
7,"11,875","10,536","+1,339"
8,"14,435","12,215","+2,220"
9,"15,906","13,673","+2,233"
10,"18,975","15,877","+3,098"
11,"21,644","17,004","+4,640"
12,"24,664","18,423","+6,241"
13,"27,563","19,985","+7,578"
14,"30,530","21,608","+8,922"
15,"34,050","22,715","+11,335"
""
Objective Timeline
Time,Team,Objective,Details
10:54,Team 100,Chemtech Dragon,
11:46,Neutral,Bot Lane Outer Turret,Team 200's building
13:06,Neutral,Mid Lane Outer Turret,Team 200's building
14:04,Neutral,Top Lane Outer Turret,Team 200's building
14:24,Neutral,Top Lane Inner Turret,Team 200's building
15:14,Neutral,Mid Lane Inner Turret,Team 200's building
