Match ID:,NA1_5316480920
Game Duration:,2564
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,169","2,919",+250
3,"4,651","4,599",+52
4,"6,352","5,979",+373
5,"7,722","7,788",-66
6,"9,886","9,098",+788
7,"11,930","10,684","+1,246"
8,"13,842","12,482","+1,360"
9,"15,407","14,104","+1,303"
10,"17,410","16,357","+1,053"
11,"19,550","18,736",+814
12,"21,018","20,281",+737
13,"22,436","22,929",-493
14,"24,366","25,226",-860
15,"25,820","26,583",-763
16,"28,933","28,712",+221
17,"30,545","30,825",-280
18,"32,747","34,850","-2,103"
19,"34,598","36,577","-1,979"
20,"38,565","38,771",-206
21,"41,270","40,840",+430
22,"45,498","41,491","+4,007"
23,"47,273","42,998","+4,275"
24,"49,181","44,736","+4,445"
25,"51,100","46,858","+4,242"
26,"54,977","49,122","+5,855"
27,"58,029","50,238","+7,791"
28,"60,487","52,907","+7,580"
29,"64,800","55,432","+9,368"
30,"66,588","57,035","+9,553"
""
Objective Timeline
Time,Team,Objective,Details
14:10,Team 100,Hextech Dragon,
16:49,Neutral,Bot Lane Outer Turret,Team 100's building
17:43,Neutral,Mid Lane Outer Turret,Team 100's building
19:30,Team 100,Monster,
19:44,Neutral,Bot Lane Outer Turret,Team 200's building
20:13,Neutral,Bot Lane Inner Turret,Team 200's building
20:32,Neutral,Top Lane Outer Turret,Team 200's building
21:45,Neutral,Mid Lane Outer Turret,Team 200's building
22:03,Team 100,Water Dragon,
22:04,Neutral,Dragon Soul Given,
24:06,Neutral,Mid Lane Inner Turret,Team 200's building
26:18,Team 100,Monster,
27:17,Team 100,Earth Dragon,
28:03,Neutral,Top Lane Inner Turret,Team 200's building
28:26,Neutral,Top Lane Base Turret,Team 200's building
28:29,Neutral,Inhibitor Building (Top Lane),Team 200's building
30:38,Neutral,Mid Lane Base Turret,Team 200's building
30:44,Neutral,Inhibitor Building (Mid Lane),Team 200's building
32:42,Team 100,Earth Dragon,
32:42,Neutral,Dragon Soul Given,
33:22,Team 100,Monster,
34:16,Neutral,Inhibitor Building (Top Lane),Team 200's building
34:19,Neutral,Bot Lane Base Turret,Team 200's building
34:23,Neutral,Inhibitor Building (Bot Lane),Team 200's building
36:04,Neutral,Inhibitor Building (Mid Lane),Team 200's building
38:47,Team 100,Elder Dragon,
39:28,Team 100,Monster,
39:58,Neutral,Inhibitor Building (Top Lane),Team 200's building
40:00,Neutral,Inhibitor Building (Bot Lane),Team 200's building
40:39,Neutral,Mid Lane Nexus Turret,Team 200's building
42:31,Neutral,Inhibitor Building (Mid Lane),Team 200's building
42:35,Neutral,Mid Lane Nexus Turret,Team 200's building
