Match ID:,NA1_5308597971
Game Duration:,1287
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,946","3,250",-304
3,"4,491","4,697",-206
4,"6,095","7,461","-1,366"
5,"7,728","8,890","-1,162"
6,"9,204","10,921","-1,717"
7,"10,422","12,650","-2,228"
8,"12,083","14,443","-2,360"
9,"13,580","16,603","-3,023"
10,"15,113","18,122","-3,009"
11,"16,687","20,706","-4,019"
12,"18,149","22,058","-3,909"
13,"19,497","23,703","-4,206"
14,"21,082","25,447","-4,365"
15,"23,006","26,740","-3,734"
16,"25,044","28,547","-3,503"
17,"27,302","30,997","-3,695"
18,"28,861","33,460","-4,599"
19,"30,495","35,773","-5,278"
20,"31,474","40,318","-8,844"
21,"32,759","42,998","-10,239"
""
Objective Timeline
Time,Team,Objective,Details
7:03,Team 100,Air Dragon,
12:21,Team 200,Chemtech Dragon,
12:22,Neutral,Dragon Soul Given,
15:32,Team 200,Monster,
16:51,Neutral,Bot Lane Outer Turret,Team 100's building
17:36,Team 200,Hextech Dragon,
17:54,Neutral,Mid Lane Outer Turret,Team 100's building
19:22,Neutral,Top Lane Outer Turret,Team 100's building
19:28,Neutral,Bot Lane Inner Turret,Team 100's building
21:17,Neutral,Mid Lane Inner Turret,Team 100's building
