Match ID:,NA1_5313426736
Game Duration:,1621
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,988","3,032",-44
3,"4,881","4,850",+31
4,"6,403","7,094",-691
5,"8,535","8,688",-153
6,"9,498","10,211",-713
7,"11,534","12,563","-1,029"
8,"13,175","15,554","-2,379"
9,"14,872","17,191","-2,319"
10,"16,783","19,381","-2,598"
11,"18,167","21,569","-3,402"
12,"20,214","23,628","-3,414"
13,"21,860","25,403","-3,543"
14,"24,206","28,870","-4,664"
15,"26,132","30,403","-4,271"
16,"27,743","32,484","-4,741"
17,"29,368","36,788","-7,420"
18,"32,607","39,834","-7,227"
19,"34,122","41,108","-6,986"
20,"37,036","43,552","-6,516"
21,"38,682","46,709","-8,027"
22,"40,575","49,175","-8,600"
23,"41,665","50,909","-9,244"
24,"44,066","53,264","-9,198"
25,"45,530","54,674","-9,144"
26,"46,791","56,100","-9,309"
27,"48,583","62,468","-13,885"
""
Objective Timeline
Time,Team,Objective,Details
6:23,Team 100,Fire Dragon,
11:50,Team 200,Water Dragon,
11:50,Neutral,Dragon Soul Given,
13:18,Neutral,Top Lane Outer Turret,Team 100's building
13:47,Neutral,Mid Lane Outer Turret,Team 100's building
15:41,Team 200,Monster,
16:11,Neutral,Top Lane Inner Turret,Team 100's building
16:19,Neutral,Bot Lane Outer Turret,Team 100's building
16:48,Neutral,Bot Lane Inner Turret,Team 100's building
22:33,Team 200,Chemtech Dragon,
26:08,Team 200,Monster,
26:09,Neutral,Mid Lane Outer Turret,Team 200's building; 500 gold
26:35,Neutral,Mid Lane Inner Turret,Team 100's building
26:41,Neutral,Mid Lane Base Turret,Team 100's building
26:45,Neutral,Inhibitor Building (Mid Lane),Team 100's building
26:50,Neutral,Mid Lane Nexus Turret,Team 100's building
26:53,Neutral,Mid Lane Nexus Turret,Team 100's building
