Match ID:,NA1_5309169949
Game Duration:,1836
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,502",-2
2,"3,017","3,048",-31
3,"5,144","4,436",+708
4,"6,970","6,320",+650
5,"8,852","7,964",+888
6,"10,632","9,389","+1,243"
7,"12,293","11,036","+1,257"
8,"14,026","12,728","+1,298"
9,"16,769","14,593","+2,176"
10,"18,985","16,039","+2,946"
11,"20,393","19,446",+947
12,"22,053","20,618","+1,435"
13,"23,479","23,631",-152
14,"25,175","25,387",-212
15,"26,955","26,740",+215
16,"29,897","28,454","+1,443"
17,"32,089","29,986","+2,103"
18,"33,667","33,835",-168
19,"35,817","35,725",+92
20,"37,268","37,999",-731
21,"40,042","39,846",+196
22,"42,192","42,196",-4
23,"43,506","43,377",+129
24,"45,700","45,938",-238
25,"47,093","48,355","-1,262"
26,"49,202","50,387","-1,185"
27,"51,204","52,977","-1,773"
28,"52,641","55,335","-2,694"
29,"54,664","58,077","-3,413"
30,"56,222","60,736","-4,514"
""
Objective Timeline
Time,Team,Objective,Details
10:55,Neutral,Bot Lane Outer Turret,Team 100's building
11:37,Team 200,Water Dragon,
15:00,Neutral,Bot Lane Outer Turret,Team 200's building
16:11,Neutral,Mid Lane Outer Turret,Team 200's building
16:25,Team 100,Monster,
16:58,Team 200,Chemtech Dragon,
16:59,Neutral,Dragon Soul Given,
17:36,Neutral,Top Lane Outer Turret,Team 200's building
17:52,Neutral,Mid Lane Outer Turret,Team 100's building
22:34,Team 200,Earth Dragon,
24:12,Neutral,Mid Lane Inner Turret,Team 100's building
24:14,Neutral,Top Lane Outer Turret,Team 100's building
28:21,Neutral,Mid Lane Base Turret,Team 100's building
28:26,Neutral,Inhibitor Building (Mid Lane),Team 100's building
29:14,Team 200,Earth Dragon,
29:15,Neutral,Dragon Soul Given,
30:26,Neutral,Mid Lane Nexus Turret,Team 100's building
30:27,Neutral,Mid Lane Nexus Turret,Team 100's building
