Match ID:,NA1_5313822029
Game Duration:,1590
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,962","3,081",-119
3,"4,427","4,653",-226
4,"6,405","6,714",-309
5,"8,276","8,022",+254
6,"10,394","9,930",+464
7,"12,717","12,115",+602
8,"13,878","14,571",-693
9,"16,092","15,995",+97
10,"17,921","18,088",-167
11,"19,993","20,157",-164
12,"21,311","22,380","-1,069"
13,"23,039","24,387","-1,348"
14,"25,544","25,912",-368
15,"27,138","28,062",-924
16,"29,182","30,092",-910
17,"30,920","33,804","-2,884"
18,"32,628","36,197","-3,569"
19,"33,741","39,518","-5,777"
20,"35,342","42,566","-7,224"
21,"37,015","44,867","-7,852"
22,"39,471","48,497","-9,026"
23,"41,843","50,640","-8,797"
24,"44,372","54,643","-10,271"
25,"45,907","56,970","-11,063"
26,"47,768","60,970","-13,202"
27,"48,691","63,260","-14,569"
""
Objective Timeline
Time,Team,Objective,Details
6:50,Team 100,Fire Dragon,
12:54,Team 100,Air Dragon,
12:55,Neutral,Dragon Soul Given,
16:48,Neutral,Top Lane Outer Turret,Team 100's building
17:09,Neutral,Mid Lane Outer Turret,Team 100's building
18:30,Team 200,Hextech Dragon,
18:45,Neutral,Top Lane Inner Turret,Team 100's building
19:35,Neutral,Top Lane Outer Turret,Team 200's building
20:22,Neutral,Bot Lane Outer Turret,Team 100's building
20:57,Team 200,Monster,
21:19,Neutral,Mid Lane Inner Turret,Team 100's building
21:35,Neutral,Bot Lane Inner Turret,Team 100's building
24:14,Neutral,Mid Lane Base Turret,Team 100's building
24:22,Neutral,Inhibitor Building (Mid Lane),Team 100's building
24:53,Team 200,Hextech Dragon,
25:48,Team 200,Monster,
26:16,Neutral,Mid Lane Nexus Turret,Team 100's building
26:22,Neutral,Mid Lane Nexus Turret,Team 100's building
