Match ID:,NA1_5304452329
Game Duration:,1507
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,024","3,012",+12
3,"4,964","4,937",+27
4,"6,606","6,821",-215
5,"8,405","8,213",+192
6,"9,715","9,737",-22
7,"11,846","11,431",+415
8,"13,326","12,818",+508
9,"15,137","14,823",+314
10,"16,685","17,637",-952
11,"18,018","18,960",-942
12,"19,578","21,237","-1,659"
13,"21,460","23,400","-1,940"
14,"23,217","24,944","-1,727"
15,"24,632","27,801","-3,169"
16,"26,529","29,724","-3,195"
17,"28,858","31,896","-3,038"
18,"32,072","34,941","-2,869"
19,"34,392","36,781","-2,389"
20,"35,885","40,086","-4,201"
21,"37,031","44,135","-7,104"
22,"40,367","46,499","-6,132"
23,"43,280","48,373","-5,093"
24,"44,129","52,399","-8,270"
25,"46,588","57,163","-10,575"
""
Objective Timeline
Time,Team,Objective,Details
11:09,Team 100,Earth Dragon,
15:11,Neutral,Mid Lane Outer Turret,Team 100's building
16:01,Neutral,Top Lane Outer Turret,Team 200's building
16:31,Team 100,Monster,
16:41,Team 200,Hextech Dragon,
16:42,Neutral,Dragon Soul Given,
16:51,Neutral,Bot Lane Outer Turret,Team 100's building
18:01,Neutral,Bot Lane Outer Turret,Team 200's building
19:15,Neutral,Mid Lane Outer Turret,Team 200's building
19:56,Neutral,Top Lane Outer Turret,Team 100's building
20:35,Neutral,Top Lane Inner Turret,Team 100's building
20:47,Neutral,Mid Lane Inner Turret,Team 100's building
22:30,Team 200,Air Dragon,
23:40,Neutral,Bot Lane Inner Turret,Team 100's building
23:44,Neutral,Mid Lane Base Turret,Team 100's building
24:29,Neutral,Bot Lane Base Turret,Team 100's building
24:33,Neutral,Inhibitor Building (Bot Lane),Team 100's building
24:39,Neutral,Inhibitor Building (Mid Lane),Team 100's building
24:47,Neutral,Mid Lane Nexus Turret,Team 100's building
24:53,Neutral,Mid Lane Nexus Turret,Team 100's building
