Match ID:,NA1_5319065190
Game Duration:,1837
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,944","2,978",-34
3,"4,436","4,995",-559
4,"5,974","6,978","-1,004"
5,"7,442","8,450","-1,008"
6,"8,507","10,588","-2,081"
7,"10,665","12,991","-2,326"
8,"11,858","14,784","-2,926"
9,"14,241","16,193","-1,952"
10,"17,015","17,633",-618
11,"19,283","19,081",+202
12,"22,216","20,807","+1,409"
13,"23,477","23,460",+17
14,"25,905","25,218",+687
15,"27,312","27,793",-481
16,"29,494","29,297",+197
17,"31,798","30,978",+820
18,"33,306","32,475",+831
19,"35,657","35,045",+612
20,"38,357","35,832","+2,525"
21,"40,699","39,353","+1,346"
22,"44,138","40,240","+3,898"
23,"45,951","41,840","+4,111"
24,"47,350","43,425","+3,925"
25,"49,300","46,007","+3,293"
26,"51,069","47,633","+3,436"
27,"53,491","48,973","+4,518"
28,"56,836","50,584","+6,252"
29,"61,592","52,072","+9,520"
30,"65,212","54,256","+10,956"
""
Objective Timeline
Time,Team,Objective,Details
11:03,Team 200,Air Dragon,
15:24,Team 200,Monster,
15:49,Neutral,Mid Lane Outer Turret,Team 200's building
18:24,Neutral,Top Lane Outer Turret,Team 100's building
18:46,Team 100,Chemtech Dragon,
18:46,Neutral,Dragon Soul Given,
19:32,Neutral,Bot Lane Outer Turret,Team 200's building
20:18,Neutral,Bot Lane Outer Turret,Team 100's building
21:39,Neutral,Top Lane Outer Turret,Team 200's building
23:57,Team 100,Fire Dragon,
27:18,Neutral,Mid Lane Inner Turret,Team 200's building
28:40,Team 100,Monster,
29:14,Neutral,Mid Lane Base Turret,Team 200's building
29:26,Neutral,Inhibitor Building (Mid Lane),Team 200's building
29:41,Neutral,Bot Lane Inner Turret,Team 200's building
30:01,Team 100,Fire Dragon,
30:08,Neutral,Mid Lane Outer Turret,Team 100's building; 500 gold
30:27,Neutral,Bot Lane Base Turret,Team 200's building
30:33,Neutral,Inhibitor Building (Bot Lane),Team 200's building
