Match ID:,NA1_5295522910
Game Duration:,911
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,033","3,047",-14
3,"4,425","4,566",-141
4,"6,866","6,072",+794
5,"7,819","7,581",+238
6,"9,899","9,378",+521
7,"11,320","11,263",+57
8,"12,388","13,608","-1,220"
9,"14,314","15,916","-1,602"
10,"16,251","17,575","-1,324"
11,"17,894","20,704","-2,810"
12,"19,413","22,498","-3,085"
13,"20,362","26,044","-5,682"
14,"22,322","29,732","-7,410"
15,"23,270","32,528","-9,258"
""
Objective Timeline
Time,Team,Objective,Details
7:38,Team 200,Chemtech Dragon,
12:21,Neutral,Top Lane Outer Turret,Team 100's building
13:38,Neutral,Bot Lane Outer Turret,Team 100's building
14:32,Team 200,Air Dragon,
14:33,Neutral,Dragon Soul Given,
14:42,Neutral,Mid Lane Outer Turret,Team 100's building
14:49,Neutral,Top Lane Inner Turret,Team 100's building
