Match ID:,NA1_5313636543
Game Duration:,1441
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,980","3,073",-93
3,"4,626","4,522",+104
4,"6,242","6,227",+15
5,"7,841","8,551",-710
6,"9,422","10,150",-728
7,"10,753","11,792","-1,039"
8,"12,513","13,438",-925
9,"13,994","15,179","-1,185"
10,"16,143","17,964","-1,821"
11,"17,714","20,037","-2,323"
12,"19,365","21,666","-2,301"
13,"20,825","23,788","-2,963"
14,"23,221","25,489","-2,268"
15,"25,028","27,408","-2,380"
16,"27,044","29,143","-2,099"
17,"28,271","31,471","-3,200"
18,"30,580","35,456","-4,876"
19,"33,211","36,798","-3,587"
20,"34,653","38,222","-3,569"
21,"36,164","40,622","-4,458"
22,"37,489","43,384","-5,895"
23,"39,917","45,196","-5,279"
24,"40,785","47,936","-7,151"
""
Objective Timeline
Time,Team,Objective,Details
7:13,Team 200,Hextech Dragon,
12:43,Team 200,Chemtech Dragon,
12:43,Neutral,Dragon Soul Given,
14:09,Neutral,Top Lane Outer Turret,Team 200's building
17:06,Neutral,Mid Lane Outer Turret,Team 100's building
17:23,Neutral,Top Lane Outer Turret,Team 100's building
17:46,Neutral,Bot Lane Outer Turret,Team 100's building
18:08,Team 100,Monster,1000 gold
18:18,Team 200,Earth Dragon,
21:41,Neutral,Mid Lane Inner Turret,Team 100's building
