Match ID:,NA1_5296037391
Game Duration:,2134
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,990","3,008",-18
3,"4,323","4,508",-185
4,"5,989","5,804",+185
5,"7,774","8,078",-304
6,"9,153","9,605",-452
7,"11,086","10,906",+180
8,"12,590","12,308",+282
9,"14,557","13,669",+888
10,"16,038","15,861",+177
11,"17,894","17,822",+72
12,"20,923","18,982","+1,941"
13,"24,030","20,717","+3,313"
14,"25,294","22,949","+2,345"
15,"26,886","25,371","+1,515"
16,"29,013","27,190","+1,823"
17,"30,775","29,638","+1,137"
18,"32,386","30,807","+1,579"
19,"34,630","33,113","+1,517"
20,"36,728","34,129","+2,599"
21,"38,583","36,722","+1,861"
22,"40,314","38,384","+1,930"
23,"42,930","39,723","+3,207"
24,"45,098","41,546","+3,552"
25,"46,404","44,306","+2,098"
26,"47,209","46,761",+448
27,"48,983","49,680",-697
28,"50,994","53,892","-2,898"
29,"52,446","55,624","-3,178"
30,"54,707","56,646","-1,939"
""
Objective Timeline
Time,Team,Objective,Details
7:28,Team 200,Chemtech Dragon,
13:33,Team 200,Earth Dragon,
13:33,Neutral,Dragon Soul Given,
16:16,Neutral,Bot Lane Outer Turret,Team 100's building
19:02,Neutral,Mid Lane Outer Turret,Team 200's building
19:14,Team 100,Hextech Dragon,
20:23,Neutral,Top Lane Outer Turret,Team 200's building
22:53,Team 100,Monster,
23:44,Neutral,Bot Lane Outer Turret,Team 200's building
24:45,Neutral,Mid Lane Inner Turret,Team 200's building
24:50,Neutral,Top Lane Outer Turret,Team 100's building
25:15,Team 200,Hextech Dragon,
26:01,Team 200,Monster,
27:14,Neutral,Mid Lane Outer Turret,Team 100's building
27:34,Neutral,Mid Lane Inner Turret,Team 100's building
27:41,Neutral,Mid Lane Base Turret,Team 100's building
30:42,Team 200,Hextech Dragon,
30:43,Neutral,Dragon Soul Given,
33:47,Team 200,Monster,
34:47,Neutral,Inhibitor Building (Mid Lane),Team 100's building
34:49,Neutral,Bot Lane Inner Turret,Team 100's building
35:20,Neutral,Mid Lane Nexus Turret,Team 100's building
35:22,Neutral,Mid Lane Nexus Turret,Team 100's building
