Match ID:,NA1_5302603477
Game Duration:,1277
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,895",-395
2,"3,064","3,356",-292
3,"4,578","4,973",-395
4,"6,408","6,444",-36
5,"7,619","7,897",-278
6,"10,012","9,646",+366
7,"11,778","11,140",+638
8,"13,728","12,896",+832
9,"15,419","14,532",+887
10,"17,567","16,680",+887
11,"19,636","18,944",+692
12,"21,003","20,608",+395
13,"23,947","21,955","+1,992"
14,"26,147","24,776","+1,371"
15,"28,262","26,959","+1,303"
16,"32,895","28,453","+4,442"
17,"35,997","31,546","+4,451"
18,"38,526","33,243","+5,283"
19,"40,643","35,510","+5,133"
20,"43,550","38,018","+5,532"
21,"45,259","39,412","+5,847"
""
Objective Timeline
Time,Team,Objective,Details
6:06,Team 100,Fire Dragon,
11:58,Team 200,Earth Dragon,
11:59,Neutral,Dragon Soul Given,
13:28,Neutral,Bot Lane Outer Turret,Team 200's building
15:14,Neutral,Mid Lane Outer Turret,Team 200's building
15:43,Neutral,Mid Lane Inner Turret,Team 200's building
15:58,Neutral,Top Lane Outer Turret,Team 200's building
18:00,Neutral,Bot Lane Outer Turret,Team 100's building
18:10,Team 100,Monster,
18:45,Team 100,Chemtech Dragon,
18:59,Neutral,Top Lane Outer Turret,Team 100's building
19:39,Neutral,Bot Lane Inner Turret,Team 200's building
