Match ID:,NA1_5318238543
Game Duration:,2155
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,012","2,950",+62
3,"4,465","4,776",-311
4,"6,239","6,579",-340
5,"8,249","8,537",-288
6,"9,781","10,145",-364
7,"11,825","11,501",+324
8,"14,084","13,363",+721
9,"16,003","14,971","+1,032"
10,"17,908","16,596","+1,312"
11,"19,438","20,030",-592
12,"21,047","22,348","-1,301"
13,"23,040","24,371","-1,331"
14,"25,498","25,942",-444
15,"27,420","28,536","-1,116"
16,"28,973","30,103","-1,130"
17,"30,959","31,499",-540
18,"34,639","32,955","+1,684"
19,"37,552","34,260","+3,292"
20,"40,031","37,743","+2,288"
21,"41,600","39,234","+2,366"
22,"43,165","41,033","+2,132"
23,"45,168","42,209","+2,959"
24,"48,907","44,898","+4,009"
25,"50,698","46,400","+4,298"
26,"53,825","48,952","+4,873"
27,"56,065","49,762","+6,303"
28,"59,449","50,677","+8,772"
29,"62,201","54,740","+7,461"
30,"64,313","57,391","+6,922"
""
Objective Timeline
Time,Team,Objective,Details
6:41,Team 200,Air Dragon,
12:22,Team 200,Earth Dragon,
12:23,Neutral,Top Lane Outer Turret,Team 100's building
12:23,Neutral,Dragon Soul Given,
14:28,Neutral,Bot Lane Outer Turret,Team 100's building
14:36,Neutral,Mid Lane Outer Turret,Team 100's building
16:10,Team 200,Monster,
17:32,Neutral,Top Lane Outer Turret,Team 200's building
17:48,Team 200,Hextech Dragon,
18:31,Neutral,Mid Lane Outer Turret,Team 200's building
18:32,Neutral,Bot Lane Outer Turret,Team 200's building
19:43,Neutral,Mid Lane Inner Turret,Team 100's building
19:53,Neutral,Top Lane Inner Turret,Team 200's building
24:01,Team 100,Hextech Dragon,
27:28,Team 100,Monster,
29:19,Neutral,Bot Lane Inner Turret,Team 200's building
30:49,Team 100,Hextech Dragon,
32:25,Neutral,Mid Lane Base Turret,Team 100's building
32:27,Neutral,Inhibitor Building (Mid Lane),Team 100's building
32:35,Neutral,Mid Lane Nexus Turret,Team 100's building
34:01,Team 100,Monster,
35:09,Neutral,Bot Lane Base Turret,Team 200's building
35:17,Neutral,Mid Lane Inner Turret,Team 200's building
35:28,Neutral,Mid Lane Base Turret,Team 200's building
35:43,Neutral,Inhibitor Building (Bot Lane),Team 200's building
35:50,Neutral,Mid Lane Nexus Turret,Team 200's building
