Match ID:,NA1_5315260989
Game Duration:,1444
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,515",-15
2,"2,933","3,117",-184
3,"4,310","4,835",-525
4,"5,673","6,767","-1,094"
5,"7,090","9,066","-1,976"
6,"8,467","10,273","-1,806"
7,"10,246","12,271","-2,025"
8,"12,017","14,027","-2,010"
9,"13,351","15,635","-2,284"
10,"15,125","17,381","-2,256"
11,"16,514","19,016","-2,502"
12,"18,362","22,124","-3,762"
13,"20,317","24,049","-3,732"
14,"22,092","26,021","-3,929"
15,"23,846","28,789","-4,943"
16,"25,128","31,192","-6,064"
17,"27,734","34,322","-6,588"
18,"29,416","36,662","-7,246"
19,"30,791","40,380","-9,589"
20,"32,285","41,786","-9,501"
21,"34,871","43,868","-8,997"
22,"36,741","46,266","-9,525"
23,"37,828","51,288","-13,460"
24,"38,506","56,199","-17,693"
""
Objective Timeline
Time,Team,Objective,Details
10:58,Team 100,Fire Dragon,
15:48,Neutral,Top Lane Outer Turret,Team 100's building
16:38,Neutral,Mid Lane Outer Turret,Team 100's building
16:40,Team 200,Water Dragon,
16:40,Neutral,Dragon Soul Given,
17:06,Team 200,Monster,
17:19,Neutral,Bot Lane Outer Turret,Team 100's building
18:40,Neutral,Mid Lane Inner Turret,Team 100's building
18:53,Neutral,Mid Lane Base Turret,Team 100's building
22:11,Team 200,Earth Dragon,
22:53,Neutral,Top Lane Inner Turret,Team 100's building
22:56,Neutral,Bot Lane Inner Turret,Team 100's building
23:29,Neutral,Bot Lane Base Turret,Team 100's building
23:38,Neutral,Top Lane Base Turret,Team 100's building
23:43,Neutral,Inhibitor Building (Mid Lane),Team 100's building
23:44,Neutral,Inhibitor Building (Bot Lane),Team 100's building
23:50,Neutral,Inhibitor Building (Top Lane),Team 100's building
23:53,Neutral,Mid Lane Nexus Turret,Team 100's building
23:54,Neutral,Mid Lane Nexus Turret,Team 100's building
