Match ID:,NA1_5304324144
Game Duration:,1652
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,995","3,028",-33
3,"5,001","4,739",+262
4,"6,477","6,105",+372
5,"7,919","8,204",-285
6,"9,480","9,917",-437
7,"11,116","11,590",-474
8,"13,285","13,598",-313
9,"15,714","14,893",+821
10,"17,440","17,137",+303
11,"19,655","19,220",+435
12,"21,046","20,614",+432
13,"23,030","23,937",-907
14,"25,377","26,633","-1,256"
15,"27,690","28,261",-571
16,"29,577","31,904","-2,327"
17,"32,109","33,264","-1,155"
18,"34,938","36,680","-1,742"
19,"37,719","40,444","-2,725"
20,"39,538","42,329","-2,791"
21,"41,863","44,417","-2,554"
22,"45,121","46,604","-1,483"
23,"49,697","49,039",+658
24,"52,112","51,892",+220
25,"54,857","54,141",+716
26,"56,126","57,539","-1,413"
27,"57,238","61,611","-4,373"
28,"57,589","64,083","-6,494"
""
Objective Timeline
Time,Team,Objective,Details
5:33,Team 100,Water Dragon,
11:26,Team 200,Air Dragon,
11:26,Neutral,Dragon Soul Given,
15:23,Team 200,Monster,
15:48,Neutral,Top Lane Outer Turret,Team 100's building
16:40,Neutral,Top Lane Outer Turret,Team 200's building
17:19,Team 100,Chemtech Dragon,
17:44,Neutral,Bot Lane Outer Turret,Team 100's building
18:18,Neutral,Mid Lane Outer Turret,Team 100's building
18:49,Neutral,Top Lane Inner Turret,Team 100's building
22:14,Neutral,Bot Lane Outer Turret,Team 200's building
23:24,Team 200,Chemtech Dragon,
23:50,Neutral,Bot Lane Inner Turret,Team 100's building
24:20,Neutral,Mid Lane Inner Turret,Team 100's building
25:56,Team 200,Monster,
27:05,Neutral,Top Lane Base Turret,Team 100's building
27:07,Neutral,Mid Lane Base Turret,Team 100's building
27:11,Neutral,Inhibitor Building (Mid Lane),Team 100's building
27:22,Neutral,Mid Lane Nexus Turret,Team 100's building
27:24,Neutral,Mid Lane Nexus Turret,Team 100's building
