Match ID:,NA1_5317885078
Game Duration:,2169
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,871","3,099",-228
3,"5,133","4,435",+698
4,"7,335","5,940","+1,395"
5,"8,918","7,554","+1,364"
6,"10,386","9,388",+998
7,"12,257","11,928",+329
8,"14,280","13,329",+951
9,"17,244","15,309","+1,935"
10,"19,829","16,908","+2,921"
11,"21,465","20,323","+1,142"
12,"23,774","22,141","+1,633"
13,"26,510","24,300","+2,210"
14,"28,976","25,281","+3,695"
15,"32,039","27,250","+4,789"
16,"34,917","29,388","+5,529"
17,"37,540","31,709","+5,831"
18,"39,762","33,326","+6,436"
19,"42,316","35,061","+7,255"
20,"43,763","37,554","+6,209"
21,"45,048","40,407","+4,641"
22,"46,842","42,048","+4,794"
23,"47,545","46,423","+1,122"
24,"49,477","48,404","+1,073"
25,"51,251","50,021","+1,230"
26,"52,988","52,437",+551
27,"55,518","55,167",+351
28,"58,169","56,966","+1,203"
29,"60,069","58,673","+1,396"
30,"62,729","62,574",+155
""
Objective Timeline
Time,Team,Objective,Details
10:49,Team 200,Water Dragon,
14:12,Neutral,Mid Lane Outer Turret,Team 200's building
14:15,Neutral,Bot Lane Outer Turret,Team 200's building
16:00,Team 100,Monster,
16:30,Neutral,Top Lane Outer Turret,Team 200's building
17:27,Team 100,Earth Dragon,
17:28,Neutral,Dragon Soul Given,
18:22,Neutral,Mid Lane Inner Turret,Team 200's building
22:46,Neutral,Bot Lane Outer Turret,Team 100's building
23:05,Team 200,Hextech Dragon,
26:28,Team 200,Monster,
28:03,Neutral,Top Lane Outer Turret,Team 100's building
29:28,Neutral,Top Lane Inner Turret,Team 200's building
30:06,Team 200,Hextech Dragon,
30:11,Neutral,Bot Lane Inner Turret,Team 100's building
30:23,Neutral,Mid Lane Outer Turret,Team 100's building
32:06,Neutral,Mid Lane Inner Turret,Team 100's building
33:44,Neutral,Mid Lane Base Turret,Team 100's building
33:51,Team 200,Monster,
33:59,Neutral,Inhibitor Building (Mid Lane),Team 100's building
35:22,Team 200,Hextech Dragon,
35:22,Neutral,Dragon Soul Given,
35:56,Neutral,Bot Lane Base Turret,Team 100's building
35:59,Neutral,Mid Lane Nexus Turret,Team 100's building
36:01,Neutral,Mid Lane Nexus Turret,Team 100's building
36:03,Neutral,Inhibitor Building (Bot Lane),Team 100's building
