Match ID:,NA1_5302752186
Game Duration:,1699
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,038","3,018",+20
3,"4,474","4,429",+45
4,"6,233","6,364",-131
5,"7,989","8,289",-300
6,"9,350","9,416",-66
7,"11,194","11,059",+135
8,"13,032","12,200",+832
9,"15,094","14,950",+144
10,"17,110","16,345",+765
11,"18,957","19,057",-100
12,"20,742","20,976",-234
13,"22,636","23,005",-369
14,"25,729","24,768",+961
15,"26,871","26,978",-107
16,"29,409","29,872",-463
17,"31,883","31,319",+564
18,"35,282","33,816","+1,466"
19,"37,033","36,010","+1,023"
20,"39,494","37,708","+1,786"
21,"41,897","40,043","+1,854"
22,"44,166","43,783",+383
23,"46,996","46,189",+807
24,"48,457","48,258",+199
25,"51,842","49,268","+2,574"
26,"55,125","51,719","+3,406"
27,"57,311","53,244","+4,067"
28,"61,082","54,393","+6,689"
""
Objective Timeline
Time,Team,Objective,Details
5:54,Team 200,Hextech Dragon,
11:38,Team 100,Fire Dragon,
11:38,Neutral,Dragon Soul Given,
13:54,Neutral,Top Lane Outer Turret,Team 200's building
15:21,Neutral,Bot Lane Outer Turret,Team 100's building
15:33,Neutral,Top Lane Inner Turret,Team 200's building
17:15,Team 100,Monster,
17:28,Neutral,Bot Lane Inner Turret,Team 100's building
17:38,Neutral,Mid Lane Outer Turret,Team 200's building
18:22,Team 100,Air Dragon,
18:44,Neutral,Top Lane Outer Turret,Team 100's building
22:17,Neutral,Bot Lane Outer Turret,Team 200's building
22:50,Neutral,Mid Lane Inner Turret,Team 200's building
23:38,Team 200,Air Dragon,
25:23,Team 200,Monster,
25:56,Neutral,Mid Lane Base Turret,Team 200's building
26:00,Neutral,Inhibitor Building (Mid Lane),Team 200's building
