Match ID:,NA1_5303062186
Game Duration:,976
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,013","3,017",-4
3,"5,071","4,369",+702
4,"6,268","5,756",+512
5,"7,717","7,258",+459
6,"8,949","9,693",-744
7,"10,989","11,253",-264
8,"12,313","13,609","-1,296"
9,"13,830","15,078","-1,248"
10,"16,124","17,014",-890
11,"17,663","19,184","-1,521"
12,"20,060","21,355","-1,295"
13,"21,682","23,129","-1,447"
14,"23,358","25,511","-2,153"
15,"24,606","28,060","-3,454"
16,"26,114","31,564","-5,450"
""
Objective Timeline
Time,Team,Objective,Details
6:03,Team 200,Air Dragon,
14:15,Neutral,Top Lane Outer Turret,Team 100's building
15:08,Neutral,Bot Lane Outer Turret,Team 100's building
15:14,Neutral,Mid Lane Outer Turret,Team 100's building
15:28,Team 200,Earth Dragon,
15:29,Neutral,Dragon Soul Given,
