Match ID:,NA1_5318509525
Game Duration:,1501
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,036","2,958",+78
3,"5,051","4,206",+845
4,"6,546","5,782",+764
5,"8,055","7,779",+276
6,"9,495","9,196",+299
7,"11,815","10,651","+1,164"
8,"14,138","11,956","+2,182"
9,"16,158","13,816","+2,342"
10,"18,188","15,114","+3,074"
11,"20,069","17,327","+2,742"
12,"21,429","18,994","+2,435"
13,"24,177","21,430","+2,747"
14,"26,002","23,859","+2,143"
15,"27,396","26,179","+1,217"
16,"29,075","27,747","+1,328"
17,"31,939","29,247","+2,692"
18,"33,249","31,812","+1,437"
19,"35,494","33,401","+2,093"
20,"38,577","35,408","+3,169"
21,"41,942","36,867","+5,075"
22,"44,712","38,152","+6,560"
23,"47,438","40,214","+7,224"
24,"48,797","42,937","+5,860"
25,"53,988","43,717","+10,271"
""
Objective Timeline
Time,Team,Objective,Details
12:54,Neutral,Top Lane Outer Turret,Team 200's building
13:27,Team 200,Earth Dragon,
14:13,Neutral,Bot Lane Outer Turret,Team 100's building
16:26,Neutral,Bot Lane Outer Turret,Team 200's building
18:48,Team 100,Chemtech Dragon,
18:48,Neutral,Dragon Soul Given,
19:13,Team 100,Monster,
19:52,Neutral,Top Lane Inner Turret,Team 200's building
20:10,Neutral,Top Lane Base Turret,Team 200's building
20:25,Neutral,Inhibitor Building (Top Lane),Team 200's building
20:31,Neutral,Mid Lane Outer Turret,Team 200's building
22:10,Neutral,Bot Lane Inner Turret,Team 200's building
24:35,Neutral,Mid Lane Nexus Turret,Team 200's building
24:41,Neutral,Mid Lane Nexus Turret,Team 200's building
24:41,Neutral,Mid Lane Inner Turret,Team 200's building
24:53,Neutral,Mid Lane Base Turret,Team 200's building
