Match ID:,NA1_5314301069
Game Duration:,1766
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,073","3,125",-52
3,"4,514","5,002",-488
4,"6,083","6,744",-661
5,"7,902","8,627",-725
6,"9,429","10,100",-671
7,"11,430","11,930",-500
8,"13,101","13,600",-499
9,"14,830","15,109",-279
10,"16,421","16,600",-179
11,"18,131","18,356",-225
12,"19,527","20,155",-628
13,"21,271","22,415","-1,144"
14,"23,577","24,246",-669
15,"25,853","26,358",-505
16,"27,583","27,818",-235
17,"29,679","29,550",+129
18,"31,257","31,183",+74
19,"33,462","33,694",-232
20,"35,336","36,254",-918
21,"36,486","39,049","-2,563"
22,"38,633","40,173","-1,540"
23,"40,333","44,351","-4,018"
24,"42,261","47,120","-4,859"
25,"43,632","49,335","-5,703"
26,"46,479","51,676","-5,197"
27,"47,550","54,112","-6,562"
28,"49,142","57,809","-8,667"
29,"50,014","60,869","-10,855"
""
Objective Timeline
Time,Team,Objective,Details
11:00,Team 200,Chemtech Dragon,
14:31,Neutral,Bot Lane Outer Turret,Team 100's building
14:43,Neutral,Mid Lane Outer Turret,Team 200's building
14:57,Neutral,Top Lane Outer Turret,Team 200's building
16:03,Team 100,Monster,
16:16,Team 200,Water Dragon,
16:16,Neutral,Dragon Soul Given,
19:16,Neutral,Top Lane Outer Turret,Team 100's building
19:43,Neutral,Bot Lane Outer Turret,Team 200's building
20:12,Neutral,Mid Lane Outer Turret,Team 100's building
21:34,Team 200,Fire Dragon,
22:53,Neutral,Top Lane Inner Turret,Team 100's building
25:03,Neutral,Mid Lane Inner Turret,Team 100's building
25:16,Neutral,Mid Lane Base Turret,Team 100's building
26:54,Team 200,Fire Dragon,
26:54,Neutral,Dragon Soul Given,
27:57,Team 200,Monster,
28:52,Neutral,Inhibitor Building (Mid Lane),Team 100's building
29:02,Neutral,Mid Lane Nexus Turret,Team 100's building
29:15,Neutral,Mid Lane Nexus Turret,Team 100's building
