Match ID:,NA1_5301959607
Game Duration:,1893
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,046","2,962",+84
3,"4,475","4,251",+224
4,"6,156","7,035",-879
5,"7,395","8,860","-1,465"
6,"9,216","10,114",-898
7,"10,945","11,460",-515
8,"12,042","13,523","-1,481"
9,"13,507","15,481","-1,974"
10,"15,794","17,700","-1,906"
11,"17,587","19,669","-2,082"
12,"18,788","21,874","-3,086"
13,"20,965","23,911","-2,946"
14,"22,784","26,664","-3,880"
15,"27,029","27,864",-835
16,"28,507","30,111","-1,604"
17,"30,818","32,848","-2,030"
18,"32,211","34,954","-2,743"
19,"37,462","36,032","+1,430"
20,"39,148","37,731","+1,417"
21,"41,395","39,952","+1,443"
22,"44,195","42,501","+1,694"
23,"45,369","43,803","+1,566"
24,"47,604","46,111","+1,493"
25,"49,076","49,707",-631
26,"51,545","53,123","-1,578"
27,"52,928","55,531","-2,603"
28,"54,609","58,353","-3,744"
29,"56,267","59,598","-3,331"
30,"58,744","63,283","-4,539"
""
Objective Timeline
Time,Team,Objective,Details
6:41,Team 200,Air Dragon,
12:05,Team 200,Water Dragon,
12:06,Neutral,Dragon Soul Given,
14:40,Neutral,Top Lane Outer Turret,Team 200's building
15:30,Neutral,Top Lane Outer Turret,Team 100's building
17:22,Neutral,Bot Lane Outer Turret,Team 100's building
17:48,Team 200,Earth Dragon,
18:17,Neutral,Mid Lane Outer Turret,Team 200's building
19:36,Team 100,Monster,
23:33,Neutral,Mid Lane Inner Turret,Team 200's building
23:42,Neutral,Top Lane Inner Turret,Team 200's building
23:43,Team 200,Earth Dragon,
23:43,Neutral,Dragon Soul Given,
25:00,Neutral,Top Lane Inner Turret,Team 100's building
25:15,Neutral,Bot Lane Outer Turret,Team 200's building
25:25,Team 200,Monster,
26:44,Neutral,Mid Lane Outer Turret,Team 100's building
27:15,Neutral,Mid Lane Inner Turret,Team 100's building
27:34,Neutral,Mid Lane Base Turret,Team 100's building
27:40,Neutral,Inhibitor Building (Mid Lane),Team 100's building
29:57,Neutral,Bot Lane Inner Turret,Team 100's building
30:07,Team 200,Elder Dragon,
31:03,Neutral,Mid Lane Nexus Turret,Team 100's building
31:17,Neutral,Mid Lane Nexus Turret,Team 100's building
