Match ID:,NA1_5310897779
Game Duration:,1525
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,047","2,985",+62
3,"4,434","4,547",-113
4,"6,325","6,634",-309
5,"7,575","8,009",-434
6,"9,267","9,680",-413
7,"10,772","11,239",-467
8,"12,154","12,967",-813
9,"13,633","14,322",-689
10,"14,896","17,405","-2,509"
11,"17,176","19,116","-1,940"
12,"18,646","21,240","-2,594"
13,"20,760","23,313","-2,553"
14,"22,936","26,290","-3,354"
15,"23,954","27,953","-3,999"
16,"24,978","31,298","-6,320"
17,"26,679","33,439","-6,760"
18,"31,089","35,863","-4,774"
19,"33,150","38,451","-5,301"
20,"35,449","40,847","-5,398"
21,"37,116","43,701","-6,585"
22,"37,941","46,787","-8,846"
23,"39,760","49,515","-9,755"
24,"41,284","51,087","-9,803"
25,"42,809","54,355","-11,546"
""
Objective Timeline
Time,Team,Objective,Details
6:10,Team 200,Fire Dragon,
11:46,Team 200,Earth Dragon,
11:46,Neutral,Dragon Soul Given,
15:48,Neutral,Mid Lane Outer Turret,Team 100's building
16:13,Team 200,Monster,
16:50,Neutral,Top Lane Outer Turret,Team 100's building
17:19,Neutral,Bot Lane Outer Turret,Team 200's building; 500 gold
17:46,Neutral,Top Lane Inner Turret,Team 100's building
17:50,Team 100,Hextech Dragon,1000 gold
19:21,Neutral,Bot Lane Outer Turret,Team 100's building
19:49,Neutral,Top Lane Outer Turret,Team 200's building; 500 gold
20:31,Neutral,Mid Lane Inner Turret,Team 100's building
23:56,Team 200,Hextech Dragon,
24:53,Neutral,Mid Lane Base Turret,Team 100's building
24:57,Neutral,Inhibitor Building (Mid Lane),Team 100's building
25:06,Neutral,Mid Lane Nexus Turret,Team 100's building
25:09,Neutral,Mid Lane Nexus Turret,Team 100's building
