Match ID:,NA1_5305208887
Game Duration:,943
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,996","3,015",-19
3,"4,379","4,503",-124
4,"5,474","6,419",-945
5,"6,614","9,485","-2,871"
6,"7,686","10,819","-3,133"
7,"8,967","12,694","-3,727"
8,"10,235","15,203","-4,968"
9,"12,204","17,415","-5,211"
10,"14,195","19,802","-5,607"
11,"15,674","21,884","-6,210"
12,"17,025","24,779","-7,754"
13,"18,544","26,782","-8,238"
14,"20,822","30,217","-9,395"
15,"22,709","33,431","-10,722"
16,"23,805","35,174","-11,369"
""
Objective Timeline
Time,Team,Objective,Details
7:09,Team 100,Air Dragon,
11:26,Neutral,Mid Lane Outer Turret,Team 100's building
13:31,Neutral,Bot Lane Outer Turret,Team 100's building
14:11,Neutral,Mid Lane Inner Turret,Team 100's building
15:00,Neutral,Top Lane Outer Turret,Team 100's building
15:29,Team 200,Monster,
