Match ID:,NA1_5316054012
Game Duration:,1731
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,938","3,006",-68
3,"5,221","5,392",-171
4,"7,929","7,659",+270
5,"10,229","9,821",+408
6,"11,638","12,552",-914
7,"14,017","14,056",-39
8,"15,554","15,928",-374
9,"17,673","17,169",+504
10,"19,310","18,639",+671
11,"22,021","21,581",+440
12,"23,459","23,147",+312
13,"24,947","25,886",-939
14,"27,427","28,942","-1,515"
15,"29,297","31,620","-2,323"
16,"31,519","33,784","-2,265"
17,"34,508","37,257","-2,749"
18,"37,319","38,531","-1,212"
19,"40,721","41,188",-467
20,"42,755","42,726",+29
21,"44,337","45,418","-1,081"
22,"46,404","47,863","-1,459"
23,"47,725","52,003","-4,278"
24,"49,114","53,597","-4,483"
25,"50,409","55,296","-4,887"
26,"53,135","60,138","-7,003"
27,"56,934","63,571","-6,637"
28,"58,584","64,568","-5,984"
29,"60,459","68,212","-7,753"
""
Objective Timeline
Time,Team,Objective,Details
9:04,Team 200,Earth Dragon,
13:08,Neutral,Mid Lane Outer Turret,Team 100's building
14:13,Neutral,Bot Lane Outer Turret,Team 100's building
14:32,Neutral,Top Lane Outer Turret,Team 200's building
15:23,Team 200,Hextech Dragon,
15:23,Neutral,Dragon Soul Given,
17:49,Team 200,Monster,
18:31,Neutral,Top Lane Outer Turret,Team 100's building
19:19,Neutral,Mid Lane Outer Turret,Team 200's building
21:02,Team 200,Water Dragon,
22:20,Neutral,Mid Lane Inner Turret,Team 100's building
22:34,Neutral,Bot Lane Inner Turret,Team 100's building
22:38,Neutral,Mid Lane Base Turret,Team 100's building
25:16,Team 200,Monster,
25:53,Neutral,Inhibitor Building (Mid Lane),Team 100's building
26:18,Neutral,Mid Lane Nexus Turret,Team 100's building
26:24,Neutral,Mid Lane Nexus Turret,Team 100's building
26:45,Neutral,Bot Lane Base Turret,Team 100's building
27:17,Team 200,Water Dragon,
27:17,Neutral,Dragon Soul Given,
