Match ID:,NA1_5309108975
Game Duration:,1656
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,894",-394
2,"2,962","3,476",-514
3,"4,724","5,481",-757
4,"6,180","7,809","-1,629"
5,"7,646","9,636","-1,990"
6,"8,936","11,005","-2,069"
7,"10,585","12,888","-2,303"
8,"12,011","14,618","-2,607"
9,"14,981","15,698",-717
10,"16,886","17,086",-200
11,"18,980","19,377",-397
12,"20,340","21,773","-1,433"
13,"22,811","23,695",-884
14,"25,138","25,018",+120
15,"26,354","26,453",-99
16,"27,688","29,181","-1,493"
17,"29,291","30,713","-1,422"
18,"31,020","33,989","-2,969"
19,"33,679","35,496","-1,817"
20,"36,680","36,885",-205
21,"39,855","39,404",+451
22,"41,288","41,761",-473
23,"42,651","44,258","-1,607"
24,"44,366","45,762","-1,396"
25,"45,776","47,920","-2,144"
26,"46,745","51,720","-4,975"
27,"48,151","55,789","-7,638"
28,"48,696","58,667","-9,971"
""
Objective Timeline
Time,Team,Objective,Details
6:58,Team 200,Fire Dragon,
14:48,Team 200,Hextech Dragon,
14:48,Neutral,Dragon Soul Given,
15:16,Neutral,Bot Lane Outer Turret,Team 100's building
15:35,Team 100,Monster,
19:07,Neutral,Mid Lane Outer Turret,Team 200's building
19:24,Neutral,Mid Lane Inner Turret,Team 200's building
20:09,Team 200,Water Dragon,
20:30,Neutral,Top Lane Outer Turret,Team 200's building
20:46,Neutral,Top Lane Inner Turret,Team 200's building
20:54,Neutral,Bot Lane Inner Turret,Team 100's building
22:51,Neutral,Top Lane Outer Turret,Team 100's building
24:03,Neutral,Mid Lane Outer Turret,Team 100's building
25:21,Team 200,Water Dragon,
25:22,Neutral,Dragon Soul Given,
25:59,Team 200,Monster,
26:59,Neutral,Top Lane Inner Turret,Team 100's building
27:10,Neutral,Top Lane Base Turret,Team 100's building
27:18,Neutral,Inhibitor Building (Top Lane),Team 100's building
27:25,Neutral,Mid Lane Nexus Turret,Team 100's building
27:27,Neutral,Mid Lane Nexus Turret,Team 100's building
