Match ID:,NA1_5317225221
Game Duration:,1385
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,968","2,933",+35
3,"4,752","4,303",+449
4,"7,222","6,210","+1,012"
5,"8,529","7,753",+776
6,"10,369","9,195","+1,174"
7,"11,951","10,978",+973
8,"13,847","12,896",+951
9,"15,329","14,514",+815
10,"16,806","16,650",+156
11,"18,864","18,640",+224
12,"21,818","20,382","+1,436"
13,"24,798","21,340","+3,458"
14,"26,715","23,435","+3,280"
15,"29,191","25,477","+3,714"
16,"31,038","27,522","+3,516"
17,"33,464","29,576","+3,888"
18,"36,327","32,803","+3,524"
19,"38,642","34,295","+4,347"
20,"42,257","36,022","+6,235"
21,"43,866","37,785","+6,081"
22,"46,037","41,435","+4,602"
23,"50,617","44,038","+6,579"
""
Objective Timeline
Time,Team,Objective,Details
6:30,Team 100,Fire Dragon,
12:31,Team 100,Hextech Dragon,
12:32,Neutral,Dragon Soul Given,
14:21,Neutral,Bot Lane Outer Turret,Team 200's building
16:45,Neutral,Mid Lane Outer Turret,Team 200's building
17:00,Team 200,Monster,
17:17,Neutral,Top Lane Outer Turret,Team 100's building
18:04,Team 100,Water Dragon,
18:20,Neutral,Top Lane Outer Turret,Team 200's building
19:42,Neutral,Mid Lane Inner Turret,Team 200's building
21:02,Neutral,Top Lane Inner Turret,Team 100's building; 800 gold
21:17,Neutral,Mid Lane Outer Turret,Team 100's building; 470 gold
22:55,Neutral,Top Lane Inner Turret,Team 200's building
