Match ID:,NA1_5315116535
Game Duration:,1785
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,986","3,038",-52
3,"4,653","4,432",+221
4,"6,150","5,712",+438
5,"8,039","6,950","+1,089"
6,"9,330","8,914",+416
7,"11,053","10,253",+800
8,"12,521","11,733",+788
9,"14,797","13,023","+1,774"
10,"16,869","14,580","+2,289"
11,"19,058","15,749","+3,309"
12,"20,170","17,843","+2,327"
13,"21,775","20,652","+1,123"
14,"23,718","22,943",+775
15,"26,330","24,947","+1,383"
16,"27,776","26,256","+1,520"
17,"30,970","27,280","+3,690"
18,"34,273","29,854","+4,419"
19,"36,529","31,482","+5,047"
20,"37,670","33,004","+4,666"
21,"39,033","35,245","+3,788"
22,"40,537","36,911","+3,626"
23,"41,591","40,792",+799
24,"43,854","42,367","+1,487"
25,"45,336","44,284","+1,052"
26,"47,081","46,123",+958
27,"49,358","50,791","-1,433"
28,"51,464","52,355",-891
29,"52,903","55,265","-2,362"
30,"54,638","59,847","-5,209"
""
Objective Timeline
Time,Team,Objective,Details
7:38,Team 100,Water Dragon,
14:21,Neutral,Bot Lane Outer Turret,Team 200's building
14:21,Neutral,Top Lane Outer Turret,Team 200's building
14:23,Team 200,Hextech Dragon,
14:23,Neutral,Dragon Soul Given,
16:12,Team 100,Monster,
17:38,Neutral,Bot Lane Inner Turret,Team 200's building
17:54,Neutral,Top Lane Outer Turret,Team 100's building
17:58,Neutral,Mid Lane Outer Turret,Team 200's building
20:07,Team 200,Air Dragon,
22:28,Neutral,Bot Lane Outer Turret,Team 100's building
23:12,Neutral,Mid Lane Outer Turret,Team 100's building
26:15,Team 200,Air Dragon,
26:41,Team 200,Monster,
28:33,Neutral,Mid Lane Inner Turret,Team 100's building
28:47,Neutral,Bot Lane Inner Turret,Team 100's building
29:01,Neutral,Bot Lane Base Turret,Team 100's building
29:26,Neutral,Inhibitor Building (Bot Lane),Team 100's building
29:32,Neutral,Mid Lane Nexus Turret,Team 100's building
29:36,Neutral,Mid Lane Nexus Turret,Team 100's building
