Match ID:,NA1_5314210478
Game Duration:,1765
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,505",-5
2,"3,052","3,025",+27
3,"4,536","4,405",+131
4,"6,388","7,552","-1,164"
5,"7,912","9,173","-1,261"
6,"10,023","10,399",-376
7,"11,561","12,046",-485
8,"14,151","14,171",-20
9,"16,745","15,761",+984
10,"18,735","18,186",+549
11,"21,182","20,652",+530
12,"22,790","22,359",+431
13,"24,298","25,961","-1,663"
14,"27,118","28,832","-1,714"
15,"29,540","30,918","-1,378"
16,"31,408","33,906","-2,498"
17,"34,126","35,989","-1,863"
18,"36,076","37,738","-1,662"
19,"38,576","40,541","-1,965"
20,"40,064","41,901","-1,837"
21,"41,114","44,204","-3,090"
22,"44,552","46,957","-2,405"
23,"47,256","48,076",-820
24,"49,523","48,976",+547
25,"52,278","50,754","+1,524"
26,"54,190","52,542","+1,648"
27,"55,859","55,891",-32
28,"58,131","57,477",+654
29,"62,280","58,394","+3,886"
""
Objective Timeline
Time,Team,Objective,Details
6:56,Team 200,Chemtech Dragon,
12:29,Team 200,Earth Dragon,
12:29,Neutral,Dragon Soul Given,
12:41,Neutral,Top Lane Outer Turret,Team 100's building
13:22,Neutral,Bot Lane Outer Turret,Team 200's building
14:16,Neutral,Mid Lane Outer Turret,Team 100's building
15:56,Neutral,Mid Lane Inner Turret,Team 100's building
16:15,Team 200,Monster,
16:16,Neutral,Bot Lane Inner Turret,Team 200's building
17:35,Neutral,Top Lane Outer Turret,Team 200's building
17:44,Team 200,Air Dragon,
18:05,Neutral,Bot Lane Outer Turret,Team 100's building
21:01,Neutral,Top Lane Inner Turret,Team 100's building
23:51,Team 100,Air Dragon,
24:14,Neutral,Mid Lane Outer Turret,Team 200's building
28:50,Neutral,Mid Lane Inner Turret,Team 200's building
28:56,Neutral,Mid Lane Base Turret,Team 200's building
29:00,Neutral,Inhibitor Building (Mid Lane),Team 200's building
29:14,Neutral,Mid Lane Nexus Turret,Team 200's building
29:17,Neutral,Mid Lane Nexus Turret,Team 200's building
