Match ID:,NA1_5319027133
Game Duration:,1675
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","3,470",-970
2,"3,138","3,946",-808
3,"4,606","5,679","-1,073"
4,"6,327","8,165","-1,838"
5,"7,736","9,623","-1,887"
6,"9,948","11,230","-1,282"
7,"12,902","12,885",+17
8,"14,781","14,406",+375
9,"17,167","15,606","+1,561"
10,"19,229","17,780","+1,449"
11,"20,297","19,171","+1,126"
12,"22,379","21,121","+1,258"
13,"23,864","23,558",+306
14,"26,053","25,213",+840
15,"27,437","27,418",+19
16,"30,468","28,674","+1,794"
17,"33,289","30,242","+3,047"
18,"35,787","33,695","+2,092"
19,"37,917","35,381","+2,536"
20,"40,470","38,684","+1,786"
21,"43,100","39,861","+3,239"
22,"45,563","41,135","+4,428"
23,"47,582","43,041","+4,541"
24,"50,390","45,428","+4,962"
25,"52,358","46,540","+5,818"
26,"54,979","47,970","+7,009"
27,"59,552","50,647","+8,905"
28,"63,759","51,406","+12,353"
""
Objective Timeline
Time,Team,Objective,Details
12:40,Team 100,Air Dragon,
13:02,Neutral,Bot Lane Outer Turret,Team 200's building
15:34,Team 100,Monster,
16:42,Neutral,Mid Lane Outer Turret,Team 200's building
17:52,Neutral,Mid Lane Inner Turret,Team 200's building
17:56,Neutral,Top Lane Outer Turret,Team 100's building
18:05,Team 100,Water Dragon,
18:05,Neutral,Dragon Soul Given,
18:17,Neutral,Bot Lane Inner Turret,Team 200's building
19:42,Neutral,Bot Lane Outer Turret,Team 100's building
20:26,Neutral,Top Lane Outer Turret,Team 200's building
24:05,Team 100,Fire Dragon,
26:15,Neutral,Bot Lane Base Turret,Team 200's building
26:25,Neutral,Inhibitor Building (Bot Lane),Team 200's building
26:48,Neutral,Top Lane Inner Turret,Team 200's building
27:32,Neutral,Top Lane Base Turret,Team 200's building
27:35,Neutral,Mid Lane Nexus Turret,Team 200's building
27:37,Neutral,Mid Lane Base Turret,Team 200's building
27:39,Neutral,Mid Lane Nexus Turret,Team 200's building
