Match ID:,NA1_5308220443
Game Duration:,952
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,505",-5
2,"3,361","3,187",+174
3,"4,845","5,114",-269
4,"6,537","6,665",-128
5,"7,815","8,983","-1,168"
6,"9,442","10,798","-1,356"
7,"11,795","12,393",-598
8,"13,771","13,852",-81
9,"15,163","15,548",-385
10,"18,045","16,712","+1,333"
11,"20,560","17,851","+2,709"
12,"22,762","19,100","+3,662"
13,"25,095","20,783","+4,312"
14,"26,831","22,419","+4,412"
15,"28,958","24,523","+4,435"
16,"30,614","26,230","+4,384"
""
Objective Timeline
Time,Team,Objective,Details
6:07,Team 200,Fire Dragon,
11:51,Team 100,Earth Dragon,
11:51,Neutral,Dragon Soul Given,
