Match ID:,NA1_5316540756
Game Duration:,1806
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,505",-5
2,"3,072","3,001",+71
3,"5,700","4,406","+1,294"
4,"6,800","6,931",-131
5,"8,935","8,129",+806
6,"11,046","9,953","+1,093"
7,"12,789","11,158","+1,631"
8,"14,368","12,549","+1,819"
9,"16,151","14,754","+1,397"
10,"18,165","16,331","+1,834"
11,"20,415","19,053","+1,362"
12,"22,075","20,025","+2,050"
13,"25,275","22,013","+3,262"
14,"27,311","25,535","+1,776"
15,"30,118","28,308","+1,810"
16,"31,975","29,942","+2,033"
17,"35,370","32,234","+3,136"
18,"37,012","34,192","+2,820"
19,"40,154","36,233","+3,921"
20,"40,992","39,705","+1,287"
21,"42,622","41,195","+1,427"
22,"46,261","42,223","+4,038"
23,"48,425","43,807","+4,618"
24,"50,275","45,095","+5,180"
25,"52,405","46,133","+6,272"
26,"54,225","48,975","+5,250"
27,"55,344","51,907","+3,437"
28,"59,252","53,288","+5,964"
29,"60,683","55,830","+4,853"
30,"64,946","57,150","+7,796"
""
Objective Timeline
Time,Team,Objective,Details
12:54,Team 100,Earth Dragon,
13:30,Neutral,Bot Lane Outer Turret,Team 200's building
14:09,Neutral,Bot Lane Outer Turret,Team 100's building
14:13,Neutral,Top Lane Outer Turret,Team 200's building
15:53,Team 100,Monster,
16:07,Neutral,Mid Lane Outer Turret,Team 200's building
18:11,Neutral,Mid Lane Inner Turret,Team 200's building
18:28,Neutral,Bot Lane Inner Turret,Team 200's building
18:29,Neutral,Top Lane Outer Turret,Team 100's building
19:38,Team 200,Chemtech Dragon,
19:38,Neutral,Dragon Soul Given,
21:34,Neutral,Top Lane Inner Turret,Team 200's building
23:13,Neutral,Mid Lane Base Turret,Team 200's building
24:37,Neutral,Inhibitor Building (Mid Lane),Team 200's building
24:46,Neutral,Top Lane Base Turret,Team 200's building
24:53,Neutral,Inhibitor Building (Top Lane),Team 200's building
26:17,Team 200,Water Dragon,800 gold
27:13,Team 100,Monster,
28:04,Neutral,Mid Lane Nexus Turret,Team 200's building
28:25,Neutral,Mid Lane Nexus Turret,Team 200's building
29:43,Neutral,Inhibitor Building (Mid Lane),Team 200's building
