Match ID:,NA1_5309061379
Game Duration:,1645
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,282","2,972",+310
3,"4,404","4,161",+243
4,"6,826","6,761",+65
5,"8,471","9,001",-530
6,"10,176","10,270",-94
7,"12,921","12,089",+832
8,"14,226","13,908",+318
9,"16,023","16,043",-20
10,"17,606","17,793",-187
11,"19,291","19,818",-527
12,"21,731","21,119",+612
13,"23,408","23,321",+87
14,"25,403","25,288",+115
15,"26,873","28,194","-1,321"
16,"29,494","29,744",-250
17,"33,131","32,410",+721
18,"34,455","34,089",+366
19,"37,442","35,245","+2,197"
20,"40,275","39,246","+1,029"
21,"41,599","40,713",+886
22,"43,201","42,243",+958
23,"44,544","43,481","+1,063"
24,"49,759","44,591","+5,168"
25,"50,844","46,014","+4,830"
26,"52,256","47,435","+4,821"
27,"55,230","49,083","+6,147"
""
Objective Timeline
Time,Team,Objective,Details
11:01,Team 100,Fire Dragon,
15:58,Neutral,Bot Lane Outer Turret,Team 200's building
16:14,Neutral,Mid Lane Outer Turret,Team 100's building
16:22,Neutral,Top Lane Outer Turret,Team 100's building
16:53,Neutral,Mid Lane Outer Turret,Team 200's building
17:56,Team 100,Water Dragon,
17:57,Neutral,Dragon Soul Given,
18:51,Team 100,Monster,
19:11,Neutral,Top Lane Outer Turret,Team 200's building
19:26,Neutral,Bot Lane Outer Turret,Team 100's building
23:14,Neutral,Mid Lane Inner Turret,Team 200's building
23:54,Neutral,Bot Lane Inner Turret,Team 200's building
25:07,Team 100,Air Dragon,
26:36,Neutral,Top Lane Inner Turret,Team 200's building
