Match ID:,NA1_5313074533
Game Duration:,960
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,510","2,505",+5
2,"3,062","2,944",+118
3,"4,400","4,741",-341
4,"6,662","7,182",-520
5,"8,126","8,647",-521
6,"9,264","10,005",-741
7,"10,700","12,213","-1,513"
8,"12,088","13,831","-1,743"
9,"13,372","15,737","-2,365"
10,"15,629","18,198","-2,569"
11,"18,187","19,673","-1,486"
12,"20,093","21,570","-1,477"
13,"21,803","23,522","-1,719"
14,"23,176","26,835","-3,659"
15,"24,505","29,020","-4,515"
16,"26,412","32,578","-6,166"
""
Objective Timeline
Time,Team,Objective,Details
5:40,Team 100,Fire Dragon,
12:13,Team 200,Water Dragon,
12:14,Neutral,Dragon Soul Given,
13:22,Neutral,Top Lane Outer Turret,Team 100's building
15:25,Neutral,Mid Lane Outer Turret,Team 100's building
15:49,Neutral,Bot Lane Outer Turret,Team 100's building
