Match ID:,NA1_5306179960
Game Duration:,942
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,004","3,376",-372
3,"4,205","4,682",-477
4,"5,488","6,613","-1,125"
5,"7,408","8,214",-806
6,"9,086","10,159","-1,073"
7,"10,963","11,855",-892
8,"12,474","13,511","-1,037"
9,"13,990","15,403","-1,413"
10,"16,634","17,084",-450
11,"18,381","19,790","-1,409"
12,"20,406","21,410","-1,004"
13,"21,772","24,976","-3,204"
14,"23,424","27,871","-4,447"
15,"24,780","29,119","-4,339"
16,"25,459","31,573","-6,114"
""
Objective Timeline
Time,Team,Objective,Details
11:01,Team 200,Water Dragon,
