Match ID:,NA1_5314400100
Game Duration:,1632
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,960","3,009",-49
3,"4,342","4,911",-569
4,"5,716","7,075","-1,359"
5,"6,938","9,408","-2,470"
6,"8,802","10,999","-2,197"
7,"10,229","12,409","-2,180"
8,"11,429","14,446","-3,017"
9,"13,527","16,086","-2,559"
10,"15,309","17,830","-2,521"
11,"17,086","19,568","-2,482"
12,"19,446","22,648","-3,202"
13,"21,128","24,294","-3,166"
14,"23,896","25,984","-2,088"
15,"25,334","27,893","-2,559"
16,"29,058","30,164","-1,106"
17,"31,499","31,866",-367
18,"34,006","33,681",+325
19,"35,720","35,277",+443
20,"38,038","37,271",+767
21,"39,264","39,597",-333
22,"40,671","41,555",-884
23,"42,477","45,750","-3,273"
24,"43,712","47,829","-4,117"
25,"44,762","50,937","-6,175"
26,"46,056","56,279","-10,223"
27,"47,428","60,838","-13,410"
""
Objective Timeline
Time,Team,Objective,Details
6:40,Team 100,Earth Dragon,
11:21,Neutral,Bot Lane Outer Turret,Team 100's building
13:25,Team 200,Fire Dragon,
13:25,Neutral,Dragon Soul Given,
15:47,Neutral,Mid Lane Outer Turret,Team 100's building
16:03,Neutral,Top Lane Outer Turret,Team 200's building
18:19,Team 200,Monster,
18:55,Team 200,Chemtech Dragon,
20:54,Neutral,Top Lane Outer Turret,Team 100's building
22:47,Neutral,Mid Lane Inner Turret,Team 100's building
24:19,Neutral,Mid Lane Base Turret,Team 100's building
24:23,Neutral,Inhibitor Building (Mid Lane),Team 100's building
25:00,Team 200,Chemtech Dragon,
25:28,Neutral,Bot Lane Inner Turret,Team 100's building
26:00,Team 200,Monster,
26:31,Neutral,Top Lane Inner Turret,Team 100's building
26:43,Neutral,Top Lane Base Turret,Team 100's building
26:50,Neutral,Inhibitor Building (Top Lane),Team 100's building
26:52,Neutral,Mid Lane Nexus Turret,Team 100's building
26:55,Neutral,Mid Lane Nexus Turret,Team 100's building
