Match ID:,NA1_5297229937
Game Duration:,1736
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,008","3,035",-27
3,"4,398","4,441",-43
4,"5,660","5,851",-191
5,"7,336","7,244",+92
6,"8,568","8,961",-393
7,"10,209","10,441",-232
8,"11,569","12,267",-698
9,"13,192","14,671","-1,479"
10,"15,727","17,211","-1,484"
11,"17,492","19,175","-1,683"
12,"21,140","20,761",+379
13,"23,603","22,266","+1,337"
14,"26,426","23,571","+2,855"
15,"28,388","25,547","+2,841"
16,"30,624","28,359","+2,265"
17,"33,205","32,097","+1,108"
18,"35,055","33,763","+1,292"
19,"37,146","35,434","+1,712"
20,"38,144","38,362",-218
21,"39,331","39,818",-487
22,"40,890","42,210","-1,320"
23,"42,482","44,224","-1,742"
24,"44,273","47,171","-2,898"
25,"46,324","52,021","-5,697"
26,"47,482","52,935","-5,453"
27,"49,770","57,158","-7,388"
28,"51,317","58,244","-6,927"
29,"53,165","62,150","-8,985"
""
Objective Timeline
Time,Team,Objective,Details
7:44,Team 100,Water Dragon,
14:00,Team 100,Earth Dragon,
14:01,Neutral,Dragon Soul Given,
14:01,Neutral,Bot Lane Outer Turret,Team 200's building
16:01,Neutral,Top Lane Outer Turret,Team 100's building
16:27,Team 200,Monster,
18:14,Neutral,Mid Lane Outer Turret,Team 100's building
18:20,Neutral,Top Lane Outer Turret,Team 200's building
20:04,Team 200,Hextech Dragon,
23:13,Neutral,Mid Lane Outer Turret,Team 200's building
23:29,Neutral,Bot Lane Outer Turret,Team 100's building
24:44,Neutral,Bot Lane Inner Turret,Team 100's building
24:51,Neutral,Mid Lane Inner Turret,Team 100's building
25:37,Team 200,Hextech Dragon,
26:40,Neutral,Mid Lane Base Turret,Team 100's building
26:50,Neutral,Inhibitor Building (Mid Lane),Team 100's building
26:55,Neutral,Bot Lane Base Turret,Team 100's building
27:00,Neutral,Inhibitor Building (Bot Lane),Team 100's building
28:35,Neutral,Mid Lane Nexus Turret,Team 100's building
28:45,Neutral,Mid Lane Nexus Turret,Team 100's building
