Match ID:,NA1_5303104914
Game Duration:,1694
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,505",-5
2,"2,999","3,098",-99
3,"4,512","4,658",-146
4,"5,842","7,171","-1,329"
5,"7,303","9,271","-1,968"
6,"8,529","11,224","-2,695"
7,"10,340","12,804","-2,464"
8,"12,579","14,283","-1,704"
9,"13,809","15,819","-2,010"
10,"15,763","17,394","-1,631"
11,"18,037","19,007",-970
12,"19,955","20,472",-517
13,"22,028","22,453",-425
14,"24,163","23,730",+433
15,"26,015","25,291",+724
16,"27,866","28,046",-180
17,"29,742","29,156",+586
18,"32,528","31,255","+1,273"
19,"34,794","34,193",+601
20,"36,346","35,971",+375
21,"37,868","37,252",+616
22,"39,448","39,577",-129
23,"43,767","41,078","+2,689"
24,"45,737","42,421","+3,316"
25,"48,130","43,864","+4,266"
26,"52,140","45,886","+6,254"
27,"55,734","46,819","+8,915"
28,"59,188","49,189","+9,999"
""
Objective Timeline
Time,Team,Objective,Details
6:07,Team 200,Hextech Dragon,
11:29,Team 200,Chemtech Dragon,
11:29,Neutral,Dragon Soul Given,
13:02,Neutral,Top Lane Outer Turret,Team 200's building
14:11,Neutral,Bot Lane Outer Turret,Team 200's building
15:45,Neutral,Bot Lane Outer Turret,Team 100's building
16:18,Team 100,Monster,
16:59,Team 200,Earth Dragon,
17:20,Neutral,Mid Lane Outer Turret,Team 200's building
19:20,Neutral,Top Lane Outer Turret,Team 100's building
21:55,Neutral,Mid Lane Outer Turret,Team 100's building
22:18,Neutral,Mid Lane Inner Turret,Team 100's building
22:50,Neutral,Bot Lane Inner Turret,Team 200's building
23:21,Team 100,Earth Dragon,
24:44,Neutral,Bot Lane Base Turret,Team 200's building
25:57,Team 100,Monster,
26:20,Neutral,Mid Lane Inner Turret,Team 200's building
26:37,Neutral,Inhibitor Building (Bot Lane),Team 200's building
26:41,Neutral,Mid Lane Base Turret,Team 200's building
27:48,Neutral,Mid Lane Nexus Turret,Team 200's building
27:54,Neutral,Inhibitor Building (Mid Lane),Team 200's building
28:03,Neutral,Mid Lane Nexus Turret,Team 200's building
