Match ID:,NA1_5318449913
Game Duration:,2102
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,960","2,978",-18
3,"4,642","4,969",-327
4,"6,145","6,259",-114
5,"7,578","7,876",-298
6,"9,241","9,378",-137
7,"11,062","10,632",+430
8,"13,041","11,991","+1,050"
9,"14,557","13,444","+1,113"
10,"17,931","14,598","+3,333"
11,"19,962","16,373","+3,589"
12,"21,770","18,196","+3,574"
13,"24,627","20,694","+3,933"
14,"27,553","22,496","+5,057"
15,"29,325","25,067","+4,258"
16,"31,584","28,624","+2,960"
17,"34,026","30,908","+3,118"
18,"35,928","32,760","+3,168"
19,"37,621","34,830","+2,791"
20,"40,050","37,084","+2,966"
21,"41,164","41,238",-74
22,"42,802","43,035",-233
23,"45,464","45,288",+176
24,"47,847","47,482",+365
25,"49,236","48,781",+455
26,"50,481","51,216",-735
27,"51,925","54,638","-2,713"
28,"56,274","58,242","-1,968"
29,"59,701","59,458",+243
30,"61,329","61,158",+171
""
Objective Timeline
Time,Team,Objective,Details
6:27,Team 200,Air Dragon,
12:27,Team 100,Earth Dragon,
12:28,Neutral,Dragon Soul Given,
14:56,Neutral,Bot Lane Outer Turret,Team 100's building
15:02,Neutral,Top Lane Outer Turret,Team 100's building
15:11,Neutral,Mid Lane Outer Turret,Team 200's building
17:47,Team 200,Monster,
17:54,Team 100,Chemtech Dragon,
18:45,Neutral,Mid Lane Outer Turret,Team 100's building
19:54,Neutral,Bot Lane Outer Turret,Team 200's building
20:00,Neutral,Top Lane Inner Turret,Team 100's building
23:15,Team 200,Chemtech Dragon,
26:09,Team 200,Monster,
27:13,Neutral,Mid Lane Inner Turret,Team 100's building
27:40,Neutral,Mid Lane Base Turret,Team 100's building
28:33,Team 100,Chemtech Dragon,
30:29,Neutral,Bot Lane Inner Turret,Team 100's building
32:54,Team 200,Monster,
33:40,Team 200,Chemtech Dragon,
34:12,Neutral,Top Lane Outer Turret,Team 200's building
34:24,Neutral,Bot Lane Base Turret,Team 100's building
34:24,Neutral,Inhibitor Building (Mid Lane),Team 100's building
34:25,Neutral,Top Lane Inner Turret,Team 200's building
34:27,Neutral,Inhibitor Building (Bot Lane),Team 100's building
34:36,Neutral,Top Lane Base Turret,Team 200's building
34:51,Neutral,Mid Lane Nexus Turret,Team 100's building
34:55,Neutral,Mid Lane Nexus Turret,Team 100's building
34:56,Neutral,Inhibitor Building (Top Lane),Team 200's building
