Match ID:,NA1_5309041664
Game Duration:,1794
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,061","3,019",+42
3,"4,942","4,701",+241
4,"6,554","6,434",+120
5,"7,911","7,925",-14
6,"9,344","9,414",-70
7,"10,629","11,355",-726
8,"12,714","12,887",-173
9,"14,037","14,446",-409
10,"15,991","16,427",-436
11,"17,709","18,043",-334
12,"18,963","20,388","-1,425"
13,"20,982","22,653","-1,671"
14,"22,626","24,401","-1,775"
15,"24,130","27,482","-3,352"
16,"25,639","29,717","-4,078"
17,"29,695","31,320","-1,625"
18,"31,798","32,691",-893
19,"35,351","35,319",+32
20,"37,158","36,188",+970
21,"39,280","38,537",+743
22,"42,361","40,011","+2,350"
23,"44,596","42,075","+2,521"
24,"46,610","43,428","+3,182"
25,"49,817","46,029","+3,788"
26,"50,594","50,191",+403
27,"54,203","52,466","+1,737"
28,"57,035","53,591","+3,444"
29,"59,359","54,791","+4,568"
30,"63,388","55,778","+7,610"
""
Objective Timeline
Time,Team,Objective,Details
7:01,Team 100,Earth Dragon,
12:33,Team 100,Fire Dragon,
12:33,Neutral,Dragon Soul Given,
15:03,Neutral,Bot Lane Outer Turret,Team 100's building
16:33,Team 100,Monster,
17:01,Neutral,Top Lane Outer Turret,Team 200's building
20:11,Team 100,Water Dragon,
20:16,Neutral,Bot Lane Outer Turret,Team 200's building
22:29,Neutral,Bot Lane Inner Turret,Team 100's building
22:40,Neutral,Mid Lane Outer Turret,Team 200's building
24:47,Neutral,Mid Lane Inner Turret,Team 200's building
25:28,Team 200,Water Dragon,
26:37,Team 100,Monster,
27:34,Neutral,Bot Lane Inner Turret,Team 200's building
29:10,Neutral,Bot Lane Base Turret,Team 200's building
29:24,Neutral,Inhibitor Building (Bot Lane),Team 200's building
29:30,Neutral,Mid Lane Nexus Turret,Team 200's building
29:35,Neutral,Mid Lane Nexus Turret,Team 200's building
