Match ID:,NA1_5306257676
Game Duration:,1544
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,742","3,445",+297
3,"5,494","5,022",+472
4,"7,631","6,943",+688
5,"8,823","8,310",+513
6,"10,316","9,901",+415
7,"12,750","11,303","+1,447"
8,"14,572","13,593",+979
9,"16,159","15,964",+195
10,"17,911","18,017",-106
11,"19,332","19,976",-644
12,"21,644","21,566",+78
13,"24,808","23,997",+811
14,"27,398","25,705","+1,693"
15,"29,615","28,351","+1,264"
16,"32,446","31,818",+628
17,"34,636","34,510",+126
18,"36,242","37,195",-953
19,"40,249","39,748",+501
20,"42,676","40,853","+1,823"
21,"45,623","43,579","+2,044"
22,"47,304","45,933","+1,371"
23,"50,147","47,988","+2,159"
24,"53,461","49,258","+4,203"
25,"54,960","51,284","+3,676"
26,"57,294","51,761","+5,533"
""
Objective Timeline
Time,Team,Objective,Details
6:59,Team 200,Fire Dragon,
14:17,Neutral,Top Lane Outer Turret,Team 200's building
14:57,Team 200,Water Dragon,
14:57,Neutral,Dragon Soul Given,
15:27,Neutral,Mid Lane Outer Turret,Team 100's building
15:57,Neutral,Top Lane Outer Turret,Team 100's building
16:42,Neutral,Bot Lane Outer Turret,Team 200's building
17:27,Team 200,Monster,
18:20,Neutral,Bot Lane Outer Turret,Team 100's building
19:23,Neutral,Mid Lane Outer Turret,Team 200's building
20:27,Team 100,Air Dragon,
20:47,Neutral,Top Lane Inner Turret,Team 100's building
21:33,Neutral,Top Lane Base Turret,Team 100's building
22:39,Neutral,Mid Lane Inner Turret,Team 100's building
23:24,Neutral,Mid Lane Inner Turret,Team 200's building
23:26,Neutral,Top Lane Inner Turret,Team 200's building
