Match ID:,NA1_5316331454
Game Duration:,1654
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,017","3,005",+12
3,"4,547","4,392",+155
4,"7,083","6,263",+820
5,"8,506","7,812",+694
6,"10,548","8,953","+1,595"
7,"12,952","10,894","+2,058"
8,"15,175","12,604","+2,571"
9,"16,799","15,927",+872
10,"18,271","18,390",-119
11,"19,726","20,977","-1,251"
12,"21,574","24,199","-2,625"
13,"22,827","27,921","-5,094"
14,"25,748","29,846","-4,098"
15,"27,282","31,194","-3,912"
16,"29,684","33,194","-3,510"
17,"31,226","36,503","-5,277"
18,"33,731","38,299","-4,568"
19,"35,924","40,002","-4,078"
20,"37,553","42,042","-4,489"
21,"39,123","43,884","-4,761"
22,"41,065","45,379","-4,314"
23,"44,242","47,804","-3,562"
24,"46,868","50,365","-3,497"
25,"48,434","52,151","-3,717"
26,"51,031","54,866","-3,835"
27,"52,167","59,217","-7,050"
28,"52,564","61,121","-8,557"
""
Objective Timeline
Time,Team,Objective,Details
9:40,Neutral,Top Lane Outer Turret,Team 100's building
9:45,Team 200,Water Dragon,
11:15,Neutral,Top Lane Inner Turret,Team 100's building
12:40,Neutral,Bot Lane Outer Turret,Team 100's building
14:45,Neutral,Mid Lane Outer Turret,Team 100's building
15:11,Team 200,Chemtech Dragon,
15:12,Neutral,Dragon Soul Given,
15:53,Neutral,Top Lane Outer Turret,Team 200's building
16:00,Neutral,Bot Lane Inner Turret,Team 100's building
16:14,Team 100,Monster,
16:21,Neutral,Mid Lane Inner Turret,Team 100's building
17:27,Neutral,Bot Lane Outer Turret,Team 200's building; 390 gold
18:20,Neutral,Mid Lane Base Turret,Team 100's building
18:36,Neutral,Inhibitor Building (Mid Lane),Team 100's building
20:21,Neutral,Bot Lane Base Turret,Team 100's building
20:30,Neutral,Inhibitor Building (Bot Lane),Team 100's building
21:05,Team 200,Fire Dragon,
24:11,Neutral,Top Lane Base Turret,Team 100's building
26:04,Team 200,Monster,
26:36,Team 200,Fire Dragon,
26:36,Neutral,Dragon Soul Given,
27:20,Neutral,Inhibitor Building (Bot Lane),Team 100's building
27:21,Neutral,Inhibitor Building (Mid Lane),Team 100's building
27:25,Neutral,Mid Lane Nexus Turret,Team 100's building
27:28,Neutral,Mid Lane Nexus Turret,Team 100's building
