Match ID:,NA1_5304823426
Game Duration:,1849
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,135","3,016",+119
3,"5,282","4,331",+951
4,"7,253","5,802","+1,451"
5,"9,272","7,449","+1,823"
6,"10,540","9,318","+1,222"
7,"12,607","11,801",+806
8,"14,385","14,015",+370
9,"15,941","15,704",+237
10,"18,060","17,535",+525
11,"20,324","20,242",+82
12,"22,470","22,806",-336
13,"25,253","24,920",+333
14,"26,317","28,466","-2,149"
15,"29,406","29,799",-393
16,"32,456","33,651","-1,195"
17,"34,825","35,159",-334
18,"37,321","37,341",-20
19,"40,012","39,347",+665
20,"42,095","42,014",+81
21,"44,193","45,072",-879
22,"45,482","46,352",-870
23,"47,241","49,798","-2,557"
24,"48,482","52,848","-4,366"
25,"49,298","56,755","-7,457"
26,"53,925","57,665","-3,740"
27,"56,770","58,963","-2,193"
28,"58,538","60,469","-1,931"
29,"62,376","61,582",+794
30,"66,900","62,562","+4,338"
""
Objective Timeline
Time,Team,Objective,Details
7:37,Team 200,Chemtech Dragon,
14:02,Team 200,Air Dragon,
14:03,Neutral,Dragon Soul Given,
14:23,Neutral,Top Lane Outer Turret,Team 200's building
14:53,Neutral,Bot Lane Outer Turret,Team 200's building
15:43,Neutral,Top Lane Outer Turret,Team 100's building
16:04,Team 200,Monster,
17:17,Neutral,Mid Lane Outer Turret,Team 100's building
19:06,Neutral,Mid Lane Outer Turret,Team 200's building
20:09,Team 200,Hextech Dragon,
20:23,Neutral,Bot Lane Outer Turret,Team 100's building
22:41,Neutral,Mid Lane Inner Turret,Team 100's building
23:22,Neutral,Bot Lane Inner Turret,Team 100's building
24:45,Neutral,Mid Lane Base Turret,Team 100's building
25:53,Team 100,Hextech Dragon,300 gold
26:24,Team 100,Monster,
28:47,Neutral,Mid Lane Inner Turret,Team 200's building
29:34,Neutral,Bot Lane Inner Turret,Team 200's building
29:40,Neutral,Mid Lane Base Turret,Team 200's building
29:49,Neutral,Bot Lane Base Turret,Team 200's building
29:54,Neutral,Inhibitor Building (Mid Lane),Team 200's building
30:28,Neutral,Inhibitor Building (Bot Lane),Team 200's building
30:34,Neutral,Mid Lane Nexus Turret,Team 200's building
30:37,Neutral,Mid Lane Nexus Turret,Team 200's building
