Match ID:,NA1_5314619901
Game Duration:,1136
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"3,008","3,016",-8
3,"4,470","4,218",+252
4,"7,301","5,781","+1,520"
5,"8,603","7,790",+813
6,"10,501","9,594",+907
7,"11,933","11,567",+366
8,"13,542","14,850","-1,308"
9,"15,035","16,756","-1,721"
10,"17,027","19,765","-2,738"
11,"19,002","21,458","-2,456"
12,"21,734","23,353","-1,619"
13,"23,435","24,444","-1,009"
14,"25,320","26,997","-1,677"
15,"27,276","28,717","-1,441"
16,"29,053","33,412","-4,359"
17,"30,819","34,757","-3,938"
18,"33,428","36,953","-3,525"
19,"35,490","39,811","-4,321"
""
Objective Timeline
Time,Team,Objective,Details
14:34,Neutral,Top Lane Outer Turret,Team 100's building
15:21,Neutral,Bot Lane Outer Turret,Team 100's building
15:57,Neutral,Top Lane Inner Turret,Team 100's building
16:06,Team 200,Air Dragon,
17:06,Team 200,Monster,
18:10,Neutral,Mid Lane Outer Turret,Team 200's building
18:50,Neutral,Bot Lane Outer Turret,Team 200's building
