Match ID:,NA1_5319387390
Game Duration:,967
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,500",+0
2,"2,990","3,056",-66
3,"4,260","4,882",-622
4,"5,457","6,845","-1,388"
5,"7,003","9,172","-2,169"
6,"8,641","10,934","-2,293"
7,"9,978","12,327","-2,349"
8,"11,263","13,966","-2,703"
9,"12,666","15,523","-2,857"
10,"13,877","17,832","-3,955"
11,"14,760","21,206","-6,446"
12,"16,250","23,213","-6,963"
13,"17,365","25,723","-8,358"
14,"18,713","27,848","-9,135"
15,"20,132","30,270","-10,138"
16,"21,535","33,209","-11,674"
""
Objective Timeline
Time,Team,Objective,Details
10:25,Team 100,Water Dragon,
12:32,Neutral,Mid Lane Outer Turret,Team 100's building
13:03,Neutral,Bot Lane Outer Turret,Team 100's building
14:25,Neutral,Top Lane Outer Turret,Team 100's building
15:20,Neutral,Mid Lane Inner Turret,Team 100's building
15:33,Neutral,Top Lane Inner Turret,Team 100's building
15:51,Team 200,Monster,
