Match ID:,NA1_5304905816
Game Duration:,1945
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 200
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,505",-5
2,"3,005","3,037",-32
3,"4,451","4,846",-395
4,"5,998","6,530",-532
5,"7,249","7,880",-631
6,"9,396","9,167",+229
7,"10,959","10,614",+345
8,"12,202","12,992",-790
9,"13,726","14,470",-744
10,"15,761","17,574","-1,813"
11,"18,423","20,138","-1,715"
12,"20,349","21,434","-1,085"
13,"22,072","23,372","-1,300"
14,"24,326","24,578",-252
15,"26,084","27,416","-1,332"
16,"28,180","28,824",-644
17,"32,151","30,548","+1,603"
18,"34,550","32,233","+2,317"
19,"36,938","34,120","+2,818"
20,"40,530","35,893","+4,637"
21,"42,388","36,980","+5,408"
22,"43,927","39,130","+4,797"
23,"46,542","41,472","+5,070"
24,"47,915","46,349","+1,566"
25,"48,928","48,574",+354
26,"50,867","50,587",+280
27,"53,736","53,931",-195
28,"54,818","56,015","-1,197"
29,"56,212","58,674","-2,462"
30,"57,027","62,280","-5,253"
""
Objective Timeline
Time,Team,Objective,Details
7:47,Team 200,Water Dragon,
13:18,Team 200,Fire Dragon,
13:19,Neutral,Dragon Soul Given,
14:34,Neutral,Bot Lane Outer Turret,Team 100's building
15:28,Team 200,Monster,
16:19,Neutral,Top Lane Outer Turret,Team 200's building
17:07,Neutral,Bot Lane Outer Turret,Team 200's building
18:17,Neutral,Mid Lane Outer Turret,Team 200's building
18:42,Team 100,Chemtech Dragon,
18:45,Neutral,Top Lane Outer Turret,Team 100's building
20:16,Neutral,Mid Lane Inner Turret,Team 200's building
21:17,Neutral,Mid Lane Outer Turret,Team 100's building
23:03,Neutral,Mid Lane Base Turret,Team 200's building
23:10,Neutral,Inhibitor Building (Mid Lane),Team 200's building
24:14,Team 200,Chemtech Dragon,
24:22,Neutral,Mid Lane Inner Turret,Team 100's building
26:01,Team 100,Monster,
26:13,Neutral,Bot Lane Inner Turret,Team 100's building
29:42,Neutral,Mid Lane Base Turret,Team 100's building
29:43,Team 200,Chemtech Dragon,
29:44,Neutral,Dragon Soul Given,
29:50,Neutral,Inhibitor Building (Mid Lane),Team 100's building
30:04,Neutral,Top Lane Inner Turret,Team 100's building
