Match ID:,NA1_5317254053
Game Duration:,916
Queue:,420
Game Mode:,CLASSIC
Winner:,Team 100
Surrendered:,No
""
Gold Summary (Minute-by-Minute)
Minute,Team 100 Gold,Team 200 Gold,Gold Diff (100-200)
1,"2,500","2,505",-5
2,"3,063","3,101",-38
3,"5,251","4,504",+747
4,"7,072","6,076",+996
5,"8,600","7,265","+1,335"
6,"11,613","9,979","+1,634"
7,"13,078","11,798","+1,280"
8,"15,052","13,485","+1,567"
9,"17,660","14,707","+2,953"
10,"19,306","16,508","+2,798"
11,"22,490","18,417","+4,073"
12,"25,261","20,007","+5,254"
13,"29,956","20,936","+9,020"
14,"32,103","24,081","+8,022"
15,"35,298","26,746","+8,552"
""
Objective Timeline
Time,Team,Objective,Details
8:11,Team 200,Chemtech Dragon,
11:18,Neutral,Top Lane Outer Turret,Team 200's building
11:42,Neutral,Mid Lane Outer Turret,Team 200's building
12:35,Neutral,Bot Lane Outer Turret,Team 200's building
13:03,Neutral,Bot Lane Inner Turret,Team 200's building
15:10,Neutral,Mid Lane Inner Turret,Team 200's building
